BW    336 #MHz
FRES  1 #MHz
NFRB 10000 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 48   314.6  35    229.6  0.013    12.0    3.0
FRB 49   255.1  35    170.1  0.123    59.2    2.0
FRB 50   191.9  35    106.9  0.065    13.2    3.0
FRB 51   287.0  35    202.0  0.248    12.7    3.0
FRB 52   526.6  35    441.6  0.177    10.2    2.0
FRB 53   736.7  35    651.7  0.272    10.0    3.0
FRB 54   669.0  35    584.0  0.609    10.4    2.0
FRB 55   354.1  35    269.1  0.309     9.1    3.0
FRB 56   187.0  35    102.0  0.062    16.4    4.0
FRB 57   494.4  35    409.4  0.416     9.9    3.0
FRB 58   277.3  35    192.3  0.007    64.5    5.0
FRB 59   411.7  35    326.7  0.256    78.0    1.0
FRB 60   272.8  35    187.8  0.137    27.3    3.0
FRB 61   654.1  35    569.1  0.564    16.7    3.0
FRB 62   549.1  35    464.1  0.214    10.9    2.0
FRB 63   414.6  35    329.6  0.276    30.7    3.0
FRB 64   121.3  35     36.3  0.012    12.2    3.0
FRB 65   387.3  35    302.3  0.230    22.1    2.0
FRB 66   577.7  35    492.7  0.350    21.9    3.0
FRB 67   291.5  35    206.5  0.123    11.5    2.0
FRB 68   290.9  35    205.9  0.280    22.2    2.0
FRB 69   880.2  35    795.2  0.434    16.9    1.0
FRB 70   343.7  35    258.7  0.088    14.6    1.0
FRB 71   314.1  35    229.1  0.039    11.3    3.0
FRB 72  1084.6  35    999.6  0.220    11.8    1.0
FRB 73   208.4  35    123.4  0.022    18.0    2.0
FRB 74   424.9  35    339.9  0.308    23.8    2.0
FRB 75   427.9  35    342.9  0.414    13.8    3.0
FRB 76   512.3  35    427.3  0.461    10.6    3.0
FRB 77   199.6  35    114.6  0.199    11.5    3.0
FRB 78   233.2  35    148.2  0.010    81.3    3.0
FRB 79   628.8  35    543.8  0.567    11.3    3.0
FRB 80   219.7  35    134.7  0.210    10.3    1.0
FRB 81   842.3  35    757.3  0.213    41.1    3.0
FRB 82  1157.5  35   1072.5  0.488    35.1    2.0
FRB 83   551.8  35    466.8  0.403    10.2    3.0
FRB 84   211.2  35    126.2  0.099    15.6    4.0
FRB 85   489.1  35    404.1  0.236    16.7    1.0
FRB 86   542.9  35    457.9  0.513    18.3    3.0
FRB 87   278.4  35    193.4  0.249    11.5    3.0
FRB 88   259.8  35    174.8  0.080   123.5    1.0
FRB 89   514.6  35    429.6  0.388     9.9    4.0
FRB 90   667.3  35    582.3  0.068    33.6    4.0
FRB 91   433.2  35    348.2  0.352    11.1    3.0
FRB 92   376.6  35    291.6  0.236    11.3    1.0
FRB 93   181.3  35     96.3  0.081     9.7    3.0
FRB 94   366.6  35    281.6  0.156    25.0    1.0
FRB 95   525.8  35    440.8  0.026    10.5    2.0
FRB 96   389.8  35    304.8  0.421     9.6    3.0
FRB 97   480.4  35    395.4  0.118    16.7    3.0
FRB 98   790.0  35    705.0  0.218    20.6    3.0
FRB 99   319.6  35    234.6  0.382    10.0    2.0
FRB 100   365.0  35    280.0  0.349    22.4    2.0
FRB 101   551.1  35    466.1  0.242    24.6    3.0
FRB 102   486.7  35    401.7  0.401    37.1    2.0
FRB 103   391.1  35    306.1  0.095    56.9    3.0
FRB 104   526.3  35    441.3  0.094    10.5    3.0
FRB 105  1286.4  35   1201.4  0.073    15.3    1.0
FRB 106   698.3  35    613.3  0.011    10.7    3.0
FRB 107   554.5  35    469.5  0.499    12.0    3.0
FRB 108   209.0  35    124.0  0.029    56.4    2.0
FRB 109   452.9  35    367.9  0.095    40.1    1.0
FRB 110   460.6  35    375.6  0.179    11.5    2.0
FRB 111   368.4  35    283.4  0.067    14.4    4.0
FRB 112   555.4  35    470.4  0.321    13.8    3.0
FRB 113   986.1  35    901.1  0.556     9.7    2.0
FRB 114   451.1  35    366.1  0.390     9.5    1.0
FRB 115   865.5  35    780.5  0.442    10.3    1.0
FRB 116   360.4  35    275.4  0.063    34.5    2.0
FRB 117   351.9  35    266.9  0.252     9.2    1.0
FRB 118   337.6  35    252.6  0.296    18.4    4.0
FRB 119   385.1  35    300.1  0.089    45.5    4.0
FRB 120   809.0  35    724.0  0.258     9.4    4.0
FRB 121   242.9  35    157.9  0.221    12.4    4.0
FRB 122   321.4  35    236.4  0.214    23.6    3.0
FRB 123  1379.6  35   1294.6  0.065    16.9    4.0
FRB 124   386.0  35    301.0  0.013    18.3    3.0
FRB 125   956.7  35    871.7  0.332    11.3    3.0
FRB 126   387.5  35    302.5  0.277    10.3    2.0
FRB 127   418.0  35    333.0  0.349    21.0    2.0
FRB 128   541.0  35    456.0  0.616    26.1    3.0
FRB 129   441.3  35    356.3  0.371    17.2    1.0
FRB 130   737.6  35    652.6  0.463    13.4    2.0
FRB 131   793.8  35    708.8  0.019    16.7    5.0
FRB 132   251.4  35    166.4  0.085     9.5    4.0
FRB 133  2391.7  35   2306.7  0.156    34.7    3.0
FRB 134   838.3  35    753.3  0.487    10.1    3.0
FRB 135   463.6  35    378.6  0.142    17.9    0.0
FRB 136   654.9  35    569.9  0.738    10.2    1.0
FRB 137   486.0  35    401.0  0.364    16.5    3.0
FRB 138   219.6  35    134.6  0.010    19.1    3.0
FRB 139   567.6  35    482.6  0.210     9.8    3.0
FRB 140   330.6  35    245.6  0.395    13.8    1.0
FRB 141   327.1  35    242.1  0.165    15.4    2.0
FRB 142   333.9  35    248.9  0.301    18.3    3.0
FRB 143  1548.8  35   1463.8  0.073     9.1    3.0
FRB 144   582.5  35    497.5  0.287    26.8    3.0
FRB 145   558.6  35    473.6  0.436    10.6    2.0
FRB 146   606.5  35    521.5  0.161    17.4    1.0
FRB 147   443.2  35    358.2  0.421    38.3    2.0
FRB 148   533.6  35    448.6  0.358    30.6    2.0
FRB 149   225.3  35    140.3  0.165    43.0    3.0
FRB 150   351.0  35    266.0  0.086    52.1    4.0
FRB 151   672.3  35    587.3  0.532    10.8    1.0
FRB 152   268.7  35    183.7  0.193    47.2    2.0
FRB 153   635.3  35    550.3  0.431    10.8    3.0
FRB 154   283.0  35    198.0  0.188    30.9    1.0
FRB 155   350.7  35    265.7  0.213    12.3    3.0
FRB 156   255.8  35    170.8  0.289    10.2    4.0
FRB 157   291.7  35    206.7  0.148    12.0    3.0
FRB 158   208.8  35    123.8  0.043     9.9    3.0
FRB 159   723.6  35    638.6  0.175    34.8    1.0
FRB 160   561.6  35    476.6  0.373    26.3    1.0
FRB 161   595.1  35    510.1  0.114    39.2    4.0
FRB 162   287.6  35    202.6  0.179    24.2    3.0
FRB 163   391.4  35    306.4  0.403    13.1    1.0
FRB 164   234.4  35    149.4  0.251    31.1    3.0
FRB 165   624.2  35    539.2  0.579    15.4    2.0
FRB 166   584.4  35    499.4  0.551     9.8    2.0
FRB 167   503.2  35    418.2  0.382    11.2    2.0
FRB 168   601.5  35    516.5  0.599    13.8    2.0
FRB 169   296.4  35    211.4  0.214    26.2    2.0
FRB 170   510.4  35    425.4  0.551    13.2    2.0
FRB 171   321.6  35    236.6  0.148    38.8    4.0
FRB 172   375.1  35    290.1  0.287    20.7    4.0
FRB 173   483.1  35    398.1  0.136    10.1    2.0
FRB 174   739.9  35    654.9  0.231    11.9    2.0
FRB 175   259.2  35    174.2  0.122    11.7    4.0
FRB 176   419.2  35    334.2  0.274    40.0    2.0
FRB 177   482.8  35    397.8  0.478    21.0    3.0
FRB 178   679.4  35    594.4  0.574     9.2    2.0
FRB 179   191.4  35    106.4  0.037     9.5    2.0
FRB 180   529.9  35    444.9  0.477    31.2    0.0
FRB 181   383.1  35    298.1  0.375    16.4    0.0
FRB 182   730.7  35    645.7  0.195    11.3    3.0
FRB 183   394.5  35    309.5  0.207    43.7    1.0
FRB 184   824.1  35    739.1  0.717    11.7    0.0
FRB 185   622.5  35    537.5  0.347    13.5    2.0
FRB 186   625.1  35    540.1  0.305    13.7    4.0
FRB 187   453.4  35    368.4  0.384    10.8    3.0
FRB 188   277.0  35    192.0  0.168    30.4    3.0
FRB 189   322.4  35    237.4  0.153    39.0    1.0
FRB 190   704.2  35    619.2  0.433    21.7    2.0
FRB 191   550.3  35    465.3  0.109    10.2    3.0
FRB 192   642.3  35    557.3  0.563    16.6    2.0
FRB 193   322.5  35    237.5  0.016    12.1    3.0
FRB 194   507.6  35    422.6  0.206     9.1    3.0
FRB 195   486.1  35    401.1  0.401    11.1    3.0
FRB 196   421.7  35    336.7  0.272    23.6    2.0
FRB 197   596.0  35    511.0  0.484    29.7    2.0
FRB 198   554.0  35    469.0  0.636    22.5    1.0
FRB 199   110.2  35     25.2  0.012    10.4    3.0
FRB 200   801.5  35    716.5  0.236    27.3    4.0
FRB 201   263.9  35    178.9  0.284    35.4    4.0
FRB 202   218.4  35    133.4  0.030    34.4    4.0
FRB 203   556.7  35    471.7  0.506     9.2    2.0
FRB 204   548.1  35    463.1  0.515    12.3    3.0
FRB 205   500.6  35    415.6  0.264     9.8    2.0
FRB 206   317.2  35    232.2  0.149    22.3    3.0
FRB 207   412.7  35    327.7  0.197    18.3    3.0
FRB 208   421.5  35    336.5  0.007   152.4    3.0
FRB 209   349.2  35    264.2  0.152    20.5    3.0
FRB 210   242.6  35    157.6  0.051    19.0    3.0
FRB 211   505.2  35    420.2  0.377   120.7    0.0
FRB 212   386.3  35    301.3  0.375    11.9    1.0
FRB 213   407.1  35    322.1  0.395    43.9    3.0
FRB 214   423.8  35    338.8  0.492    13.9    3.0
FRB 215   250.7  35    165.7  0.100    59.8    2.0
FRB 216  1145.7  35   1060.7  0.138    12.7    2.0
FRB 217   640.6  35    555.6  0.263    14.6    2.0
FRB 218   306.7  35    221.7  0.318    14.2    5.0
FRB 219   203.0  35    118.0  0.076    11.1    1.0
FRB 220   816.4  35    731.4  0.648    10.1    3.0
FRB 221   447.9  35    362.9  0.416    11.9    0.0
FRB 222   200.9  35    115.9  0.009    16.0    3.0
FRB 223   180.9  35     95.9  0.075    18.7    1.0
FRB 224   470.9  35    385.9  0.302    11.3    2.0
FRB 225   146.2  35     61.2  0.028    12.7    4.0
FRB 226   222.5  35    137.5  0.144    13.0    4.0
FRB 227   381.3  35    296.3  0.256    14.3    4.0
FRB 228   305.0  35    220.0  0.249    36.5    3.0
FRB 229   437.2  35    352.2  0.262    23.8    0.0
FRB 230   489.8  35    404.8  0.330    10.4    2.0
FRB 231   552.9  35    467.9  0.717    36.0    1.0
FRB 232   947.2  35    862.2  0.325    14.9    3.0
FRB 233   615.5  35    530.5  0.243    16.3    2.0
FRB 234   363.5  35    278.5  0.336     9.3    1.0
FRB 235   174.1  35     89.1  0.095    12.2    1.0
FRB 236   455.5  35    370.5  0.239    14.3    3.0
FRB 237   696.3  35    611.3  0.174    12.4    4.0
FRB 238   309.1  35    224.1  0.167    25.5    4.0
FRB 239   531.1  35    446.1  0.361    18.3    2.0
FRB 240   454.3  35    369.3  0.482    14.9    3.0
FRB 241   353.3  35    268.3  0.341    14.1    3.0
FRB 242   491.6  35    406.6  0.455    11.7    2.0
FRB 243   613.8  35    528.8  0.604     9.2    2.0
FRB 244   543.6  35    458.6  0.328    19.7    2.0
FRB 245   138.8  35     53.8  0.003    27.7    1.0
FRB 246   197.1  35    112.1  0.067    33.1    1.0
FRB 247   600.9  35    515.9  0.442    19.6    3.0
FRB 248   584.7  35    499.7  0.404    11.6    0.0
FRB 249   513.4  35    428.4  0.575    25.6    1.0
FRB 250   502.1  35    417.1  0.226    23.9    5.0
FRB 251   226.7  35    141.7  0.181    46.0    2.0
FRB 252   279.2  35    194.2  0.082     9.1    2.0
FRB 253   639.4  35    554.4  0.082     9.2    5.0
FRB 254   817.4  35    732.4  0.563    19.6    2.0
FRB 255   397.8  35    312.8  0.197    17.1    2.0
FRB 256   411.9  35    326.9  0.166    26.4    4.0
FRB 257   267.5  35    182.5  0.175    22.3    3.0
FRB 258   433.3  35    348.3  0.310     9.4    3.0
FRB 259   509.4  35    424.4  0.359    16.6    2.0
FRB 260   558.7  35    473.7  0.654    14.5    3.0
FRB 261   384.8  35    299.8  0.265    10.0    0.0
FRB 262   160.4  35     75.4  0.146   105.2    4.0
FRB 263   263.6  35    178.6  0.150    11.4    3.0
FRB 264  1215.1  35   1130.1  0.349     9.2    2.0
FRB 265   303.7  35    218.7  0.022    72.2    2.0
FRB 266   533.2  35    448.2  0.434    25.5    3.0
FRB 267   414.7  35    329.7  0.078    22.8    3.0
FRB 268   164.3  35     79.3  0.063    16.5    2.0
FRB 269   421.8  35    336.8  0.300    14.1    2.0
FRB 270   372.7  35    287.7  0.077    56.9    2.0
FRB 271  1619.8  35   1534.8  0.001    38.3    4.0
FRB 272   250.9  35    165.9  0.106     9.4    3.0
FRB 273   236.5  35    151.5  0.163    16.1    3.0
FRB 274   313.7  35    228.7  0.091    95.0    2.0
FRB 275   358.6  35    273.6  0.310    12.2    1.0
FRB 276   805.0  35    720.0  0.212    16.2    4.0
FRB 277   573.0  35    488.0  0.340    10.6    1.0
FRB 278   358.2  35    273.2  0.333    27.6    3.0
FRB 279   544.0  35    459.0  0.624     9.8    2.0
FRB 280   226.3  35    141.3  0.129    20.6    1.0
FRB 281   207.6  35    122.6  0.072    89.8    1.0
FRB 282   512.1  35    427.1  0.435     9.2    1.0
FRB 283   494.2  35    409.2  0.279     9.1    2.0
FRB 284   606.9  35    521.9  0.073    28.0    4.0
FRB 285   348.6  35    263.6  0.397    10.4    2.0
FRB 286   687.6  35    602.6  0.439    13.6    3.0
FRB 287   985.1  35    900.1  0.215    10.3    5.0
FRB 288   482.6  35    397.6  0.074    15.9    2.0
FRB 289   438.9  35    353.9  0.243    25.5    3.0
FRB 290   579.8  35    494.8  0.560    14.1    3.0
FRB 291   684.1  35    599.1  0.340    15.1    1.0
FRB 292   313.7  35    228.7  0.048    47.0    3.0
FRB 293   432.2  35    347.2  0.213    46.2    3.0
FRB 294   769.0  35    684.0  0.266    10.1    2.0
FRB 295   189.9  35    104.9  0.027    27.2    1.0
FRB 296   366.6  35    281.6  0.315     9.8    1.0
FRB 297   384.1  35    299.1  0.166    33.8    1.0
FRB 298   216.6  35    131.6  0.131    33.2    2.0
FRB 299   482.6  35    397.6  0.064    19.1    2.0
FRB 300   391.7  35    306.7  0.095    23.7    3.0
FRB 301   221.7  35    136.7  0.067    28.3    4.0
FRB 302   437.2  35    352.2  0.455    16.6    3.0
FRB 303   446.1  35    361.1  0.269   163.5    3.0
FRB 304   208.2  35    123.2  0.003    25.8    1.0
FRB 305   167.0  35     82.0  0.025    50.6    0.0
FRB 306   456.9  35    371.9  0.245    12.0    2.0
FRB 307   577.8  35    492.8  0.286     9.9    3.0
FRB 308   428.3  35    343.3  0.413    27.5    4.0
FRB 309   421.5  35    336.5  0.339     9.1    3.0
FRB 310   423.6  35    338.6  0.120    11.2    4.0
FRB 311   375.4  35    290.4  0.068    20.5    2.0
FRB 312   309.1  35    224.1  0.094    21.7    2.0
FRB 313   302.8  35    217.8  0.042    14.3    2.0
FRB 314   217.7  35    132.7  0.015    52.2    3.0
FRB 315   611.7  35    526.7  0.332    47.9    1.0
FRB 316   317.5  35    232.5  0.200     9.2    3.0
FRB 317   306.6  35    221.6  0.341    24.9    2.0
FRB 318   161.1  35     76.1  0.034    72.8    2.0
FRB 319  1082.7  35    997.7  0.034    44.0    4.0
FRB 320   357.4  35    272.4  0.169     9.3    2.0
FRB 321   160.3  35     75.3  0.054     9.6    4.0
FRB 322   385.8  35    300.8  0.189    16.4    3.0
FRB 323   299.3  35    214.3  0.173    50.7    1.0
FRB 324   383.1  35    298.1  0.418    14.7    1.0
FRB 325   675.0  35    590.0  0.384    13.2    2.0
FRB 326   359.9  35    274.9  0.241     9.2    2.0
FRB 327   321.2  35    236.2  0.161    11.5    2.0
FRB 328   332.4  35    247.4  0.131    13.3    4.0
FRB 329   149.6  35     64.6  0.090    17.4    2.0
FRB 330   263.1  35    178.1  0.161   100.9    2.0
FRB 331   510.2  35    425.2  0.118    22.7    3.0
FRB 332   208.8  35    123.8  0.051    22.7    0.0
FRB 333   430.4  35    345.4  0.435    13.4    1.0
FRB 334  1131.8  35   1046.8  0.023    22.3    3.0
FRB 335   404.7  35    319.7  0.110     9.6    2.0
FRB 336   741.2  35    656.2  0.189    25.0    3.0
FRB 337   633.8  35    548.8  0.105    11.9    3.0
FRB 338   386.5  35    301.5  0.420    14.3    2.0
FRB 339  1206.5  35   1121.5  0.262     9.0    3.0
FRB 340   298.2  35    213.2  0.165    34.3    1.0
FRB 341   287.6  35    202.6  0.284    18.0    2.0
FRB 342   336.1  35    251.1  0.288    64.8    2.0
FRB 343   234.5  35    149.5  0.167    10.6    2.0
FRB 344   393.2  35    308.2  0.243    10.1    1.0
FRB 345   150.0  35     65.0  0.015    89.3    3.0
FRB 346   416.9  35    331.9  0.047    15.0    2.0
FRB 347   408.3  35    323.3  0.329     9.5    3.0
FRB 348   513.6  35    428.6  0.545    11.4    1.0
FRB 349   594.7  35    509.7  0.538    14.6    1.0
FRB 350   261.0  35    176.0  0.280    51.3    2.0
FRB 351   383.7  35    298.7  0.224    21.9    5.0
FRB 352   245.4  35    160.4  0.027    13.5    1.0
FRB 353   678.5  35    593.5  0.631    12.1    3.0
FRB 354   491.8  35    406.8  0.504    13.7    2.0
FRB 355   521.3  35    436.3  0.654    12.2    1.0
FRB 356   505.5  35    420.5  0.541    11.7    1.0
FRB 357   319.9  35    234.9  0.164    42.8    3.0
FRB 358   325.7  35    240.7  0.138    10.1    2.0
FRB 359   421.8  35    336.8  0.468    22.0    2.0
FRB 360   332.9  35    247.9  0.319     9.2    3.0
FRB 361   565.7  35    480.7  0.506    16.1    2.0
FRB 362   256.2  35    171.2  0.069    18.1    2.0
FRB 363   384.7  35    299.7  0.255    13.9    2.0
FRB 364   250.6  35    165.6  0.219    14.5    3.0
FRB 365   264.6  35    179.6  0.216    97.4    1.0
FRB 366   476.6  35    391.6  0.239    13.9    2.0
FRB 367   247.3  35    162.3  0.068    74.9    4.0
FRB 368   306.5  35    221.5  0.160    14.7    2.0
FRB 369   166.2  35     81.2  0.069    42.3    3.0
FRB 370   141.8  35     56.8  0.081    13.2    4.0
FRB 371   245.6  35    160.6  0.125    69.3    3.0
FRB 372  1658.0  35   1573.0  0.319    16.4    2.0
FRB 373   613.6  35    528.6  0.563     9.2    2.0
FRB 374   284.3  35    199.3  0.130    11.0    3.0
FRB 375   378.7  35    293.7  0.249    94.3    3.0
FRB 376   559.7  35    474.7  0.448     9.0    3.0
FRB 377   481.6  35    396.6  0.303    14.1    2.0
FRB 378   463.0  35    378.0  0.346    13.9    3.0
FRB 379   213.0  35    128.0  0.147    23.2    2.0
FRB 380   389.6  35    304.6  0.281    27.7    2.0
FRB 381   265.3  35    180.3  0.216    11.2    3.0
FRB 382   455.3  35    370.3  0.330    15.2    0.0
FRB 383   460.4  35    375.4  0.422    12.7    4.0
FRB 384   656.2  35    571.2  0.610    23.8    2.0
FRB 385   439.4  35    354.4  0.307    12.0    3.0
FRB 386   634.5  35    549.5  0.033     9.0    3.0
FRB 387   437.4  35    352.4  0.454    11.2    3.0
FRB 388   494.3  35    409.3  0.240    16.8    3.0
FRB 389   316.3  35    231.3  0.187    10.9    2.0
FRB 390   231.3  35    146.3  0.267    10.3    4.0
FRB 391   371.1  35    286.1  0.050    20.0    2.0
FRB 392   464.6  35    379.6  0.123     9.4    4.0
FRB 393   500.2  35    415.2  0.037    13.9    3.0
FRB 394   301.6  35    216.6  0.206    11.3    1.0
FRB 395   633.1  35    548.1  0.156   291.9    1.0
FRB 396   656.7  35    571.7  0.407    11.1    4.0
FRB 397  1365.7  35   1280.7  0.256     9.0    2.0
FRB 398   635.1  35    550.1  0.730     9.9    2.0
FRB 399  1104.5  35   1019.5  0.185    10.3    2.0
FRB 400   690.3  35    605.3  0.434    14.9    3.0
FRB 401   420.4  35    335.4  0.203    14.1    2.0
FRB 402   291.6  35    206.6  0.035    13.9    2.0
FRB 403   373.4  35    288.4  0.352    12.8    2.0
FRB 404   197.9  35    112.9  0.062    19.4    2.0
FRB 405   280.9  35    195.9  0.123    13.0    3.0
FRB 406   201.3  35    116.3  0.173     9.0    3.0
FRB 407   599.2  35    514.2  0.212    18.0    2.0
FRB 408   248.5  35    163.5  0.018   116.1    3.0
FRB 409   517.9  35    432.9  0.153     9.4    3.0
FRB 410   371.6  35    286.6  0.296    13.3    1.0
FRB 411   222.5  35    137.5  0.104    23.6    2.0
FRB 412   503.2  35    418.2  0.070    58.3    3.0
FRB 413   264.0  35    179.0  0.241    20.7    3.0
FRB 414   749.1  35    664.1  0.235    43.1    1.0
FRB 415   281.1  35    196.1  0.237    23.1    2.0
FRB 416   216.3  35    131.3  0.099    12.5    4.0
FRB 417   810.8  35    725.8  0.273    10.8    3.0
FRB 418   169.2  35     84.2  0.114    10.0    2.0
FRB 419   316.6  35    231.6  0.204    12.6    4.0
FRB 420   619.7  35    534.7  0.579    14.4    3.0
FRB 421   538.2  35    453.2  0.267    11.8    3.0
FRB 422   364.4  35    279.4  0.315    11.5    1.0
FRB 423   772.7  35    687.7  0.486    10.9    2.0
FRB 424   333.0  35    248.0  0.205    17.0    3.0
FRB 425   270.9  35    185.9  0.066    30.5    1.0
FRB 426  1144.7  35   1059.7  0.136     9.2    4.0
FRB 427   661.1  35    576.1  0.260    17.1    4.0
FRB 428   186.2  35    101.2  0.006    13.8    3.0
FRB 429   338.3  35    253.3  0.287    18.9    2.0
FRB 430   308.3  35    223.3  0.255    35.9    2.0
FRB 431   241.8  35    156.8  0.157    11.2    3.0
FRB 432   982.2  35    897.2  0.067    19.1    3.0
FRB 433   548.6  35    463.6  0.024    21.9    2.0
FRB 434   589.3  35    504.3  0.690    16.7    2.0
FRB 435   206.2  35    121.2  0.122    25.0    3.0
FRB 436  1098.5  35   1013.5  0.155    14.2    4.0
FRB 437   210.7  35    125.7  0.121    26.1    3.0
FRB 438   257.8  35    172.8  0.210     9.3    2.0
FRB 439   299.2  35    214.2  0.086    20.3    3.0
FRB 440   899.3  35    814.3  0.649     9.9    3.0
FRB 441   202.2  35    117.2  0.056    10.4    3.0
FRB 442   295.5  35    210.5  0.313    31.8    2.0
FRB 443   176.5  35     91.5  0.040    21.3    4.0
FRB 444   162.5  35     77.5  0.002   217.2    5.0
FRB 445   243.8  35    158.8  0.124    17.8    0.0
FRB 446   518.7  35    433.7  0.505    10.3    1.0
FRB 447   719.3  35    634.3  0.569    18.4    3.0
FRB 448   231.7  35    146.7  0.032    13.0    2.0
FRB 449   513.3  35    428.3  0.154    32.4    2.0
FRB 450   218.2  35    133.2  0.158    15.1    4.0
FRB 451   690.2  35    605.2  0.106    12.6    3.0
FRB 452   494.2  35    409.2  0.260    10.1    2.0
FRB 453   299.4  35    214.4  0.221    16.0    3.0
FRB 454   138.4  35     53.4  0.053     9.0    2.0
FRB 455  1016.7  35    931.7  0.289    22.5    1.0
FRB 456   413.2  35    328.2  0.449    46.8    2.0
FRB 457   428.2  35    343.2  0.532    30.5    3.0
FRB 458   403.1  35    318.1  0.321    22.9    2.0
FRB 459   578.2  35    493.2  0.021    31.6    2.0
FRB 460   330.1  35    245.1  0.248    23.2    4.0
FRB 461   697.3  35    612.3  0.497    11.6    3.0
FRB 462   443.2  35    358.2  0.332     9.6    2.0
FRB 463   501.4  35    416.4  0.356     9.8    3.0
FRB 464   518.2  35    433.2  0.003    17.7    3.0
FRB 465   468.5  35    383.5  0.337    23.3    2.0
FRB 466   164.7  35     79.7  0.079    50.8    1.0
FRB 467   241.6  35    156.6  0.194    16.9    3.0
FRB 468   271.7  35    186.7  0.148    47.3    0.0
FRB 469   990.9  35    905.9  0.132    22.5    1.0
FRB 470   123.2  35     38.2  0.034    12.5    2.0
FRB 471   432.5  35    347.5  0.402    17.0    2.0
FRB 472   819.5  35    734.5  0.502     9.4    3.0
FRB 473   286.6  35    201.6  0.090    11.3    3.0
FRB 474   374.0  35    289.0  0.199    14.3    3.0
FRB 475   415.7  35    330.7  0.399    20.0    3.0
FRB 476   365.6  35    280.6  0.243    17.6    4.0
FRB 477  1498.2  35   1413.2  0.166    10.4    3.0
FRB 478   227.1  35    142.1  0.150    26.0    3.0
FRB 479   166.1  35     81.1  0.093    14.8    4.0
FRB 480   285.4  35    200.4  0.247    13.7    4.0
FRB 481   139.6  35     54.6  0.003    46.6    3.0
FRB 482   284.4  35    199.4  0.183    14.4    4.0
FRB 483   205.5  35    120.5  0.109    54.4    4.0
FRB 484   605.0  35    520.0  0.040    41.9    2.0
FRB 485   302.2  35    217.2  0.260    12.9    3.0
