BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 155   350.7  35    265.7  0.213    12.3    3.0
FRB 157   291.7  35    206.7  0.148    12.0    3.0
FRB 159   723.6  35    638.6  0.175    34.8    1.0
FRB 160   561.6  35    476.6  0.373    26.3    1.0
FRB 161   595.1  35    510.1  0.114    39.2    4.0
FRB 162   287.6  35    202.6  0.179    24.2    3.0
FRB 163   391.4  35    306.4  0.403    13.1    1.0
FRB 164   234.4  35    149.4  0.251    31.1    3.0
FRB 165   624.2  35    539.2  0.579    15.4    2.0
FRB 167   503.2  35    418.2  0.382    11.2    2.0
FRB 169   296.4  35    211.4  0.214    26.2    2.0
FRB 170   510.4  35    425.4  0.551    13.2    2.0
FRB 171   321.6  35    236.6  0.148    38.8    4.0
FRB 172   375.1  35    290.1  0.287    20.7    4.0
FRB 174   739.9  35    654.9  0.231    11.9    2.0
FRB 176   419.2  35    334.2  0.274    40.0    2.0
FRB 177   482.8  35    397.8  0.478    21.0    3.0
FRB 178   679.4  35    594.4  0.574     9.2    2.0
FRB 180   529.9  35    444.9  0.477    31.2    0.0
FRB 181   383.1  35    298.1  0.375    16.4    0.0
FRB 182   730.7  35    645.7  0.195    11.3    3.0
FRB 183   394.5  35    309.5  0.207    43.7    1.0
FRB 185   622.5  35    537.5  0.347    13.5    2.0
FRB 187   453.4  35    368.4  0.384    10.8    3.0
FRB 188   277.0  35    192.0  0.168    30.4    3.0
FRB 189   322.4  35    237.4  0.153    39.0    1.0
FRB 190   704.2  35    619.2  0.433    21.7    2.0
FRB 192   642.3  35    557.3  0.563    16.6    2.0
FRB 193   322.5  35    237.5  0.016    12.1    3.0
FRB 195   486.1  35    401.1  0.401    11.1    3.0
FRB 196   421.7  35    336.7  0.272    23.6    2.0
FRB 197   596.0  35    511.0  0.484    29.7    2.0
FRB 198   554.0  35    469.0  0.636    22.5    1.0
FRB 200   801.5  35    716.5  0.236    27.3    4.0
FRB 201   263.9  35    178.9  0.284    35.4    4.0
FRB 202   218.4  35    133.4  0.030    34.4    4.0
FRB 203   556.7  35    471.7  0.506     9.2    2.0
FRB 205   500.6  35    415.6  0.264     9.8    2.0
FRB 206   317.2  35    232.2  0.149    22.3    3.0
FRB 207   412.7  35    327.7  0.197    18.3    3.0
FRB 208   421.5  35    336.5  0.007   152.4    3.0
FRB 209   349.2  35    264.2  0.152    20.5    3.0
FRB 210   242.6  35    157.6  0.051    19.0    3.0
FRB 211   505.2  35    420.2  0.377   120.7    0.0
FRB 213   407.1  35    322.1  0.395    43.9    3.0
FRB 214   423.8  35    338.8  0.492    13.9    3.0
FRB 215   250.7  35    165.7  0.100    59.8    2.0
FRB 217   640.6  35    555.6  0.263    14.6    2.0
FRB 218   306.7  35    221.7  0.318    14.2    5.0
FRB 219   203.0  35    118.0  0.076    11.1    1.0
FRB 221   447.9  35    362.9  0.416    11.9    0.0
FRB 222   200.9  35    115.9  0.009    16.0    3.0
FRB 223   180.9  35     95.9  0.075    18.7    1.0
FRB 225   146.2  35     61.2  0.028    12.7    4.0
FRB 227   381.3  35    296.3  0.256    14.3    4.0
FRB 228   305.0  35    220.0  0.249    36.5    3.0
FRB 229   437.2  35    352.2  0.262    23.8    0.0
FRB 230   489.8  35    404.8  0.330    10.4    2.0
FRB 231   552.9  35    467.9  0.717    36.0    1.0
FRB 232   947.2  35    862.2  0.325    14.9    3.0
FRB 233   615.5  35    530.5  0.243    16.3    2.0
FRB 235   174.1  35     89.1  0.095    12.2    1.0
FRB 236   455.5  35    370.5  0.239    14.3    3.0
FRB 238   309.1  35    224.1  0.167    25.5    4.0
FRB 239   531.1  35    446.1  0.361    18.3    2.0
FRB 240   454.3  35    369.3  0.482    14.9    3.0
FRB 241   353.3  35    268.3  0.341    14.1    3.0
FRB 242   491.6  35    406.6  0.455    11.7    2.0
FRB 244   543.6  35    458.6  0.328    19.7    2.0
FRB 245   138.8  35     53.8  0.003    27.7    1.0
FRB 246   197.1  35    112.1  0.067    33.1    1.0
FRB 247   600.9  35    515.9  0.442    19.6    3.0
FRB 248   584.7  35    499.7  0.404    11.6    0.0
FRB 249   513.4  35    428.4  0.575    25.6    1.0
FRB 250   502.1  35    417.1  0.226    23.9    5.0
FRB 251   226.7  35    141.7  0.181    46.0    2.0
FRB 253   639.4  35    554.4  0.082     9.2    5.0
FRB 254   817.4  35    732.4  0.563    19.6    2.0
FRB 255   397.8  35    312.8  0.197    17.1    2.0
FRB 256   411.9  35    326.9  0.166    26.4    4.0
FRB 257   267.5  35    182.5  0.175    22.3    3.0
FRB 259   509.4  35    424.4  0.359    16.6    2.0
FRB 260   558.7  35    473.7  0.654    14.5    3.0
FRB 261   384.8  35    299.8  0.265    10.0    0.0
FRB 262   160.4  35     75.4  0.146   105.2    4.0
FRB 264  1215.1  35   1130.1  0.349     9.2    2.0
FRB 265   303.7  35    218.7  0.022    72.2    2.0
FRB 266   533.2  35    448.2  0.434    25.5    3.0
FRB 267   414.7  35    329.7  0.078    22.8    3.0
FRB 268   164.3  35     79.3  0.063    16.5    2.0
FRB 269   421.8  35    336.8  0.300    14.1    2.0
FRB 270   372.7  35    287.7  0.077    56.9    2.0
FRB 271  1619.8  35   1534.8  0.001    38.3    4.0
FRB 273   236.5  35    151.5  0.163    16.1    3.0
FRB 274   313.7  35    228.7  0.091    95.0    2.0
FRB 275   358.6  35    273.6  0.310    12.2    1.0
FRB 276   805.0  35    720.0  0.212    16.2    4.0
FRB 278   358.2  35    273.2  0.333    27.6    3.0
FRB 279   544.0  35    459.0  0.624     9.8    2.0
FRB 280   226.3  35    141.3  0.129    20.6    1.0
FRB 281   207.6  35    122.6  0.072    89.8    1.0
FRB 283   494.2  35    409.2  0.279     9.1    2.0
FRB 284   606.9  35    521.9  0.073    28.0    4.0
FRB 286   687.6  35    602.6  0.439    13.6    3.0
FRB 288   482.6  35    397.6  0.074    15.9    2.0
FRB 289   438.9  35    353.9  0.243    25.5    3.0
FRB 290   579.8  35    494.8  0.560    14.1    3.0
FRB 291   684.1  35    599.1  0.340    15.1    1.0
FRB 292   313.7  35    228.7  0.048    47.0    3.0
FRB 293   432.2  35    347.2  0.213    46.2    3.0
FRB 294   769.0  35    684.0  0.266    10.1    2.0
FRB 295   189.9  35    104.9  0.027    27.2    1.0
FRB 297   384.1  35    299.1  0.166    33.8    1.0
FRB 298   216.6  35    131.6  0.131    33.2    2.0
FRB 299   482.6  35    397.6  0.064    19.1    2.0
FRB 300   391.7  35    306.7  0.095    23.7    3.0
FRB 301   221.7  35    136.7  0.067    28.3    4.0
FRB 302   437.2  35    352.2  0.455    16.6    3.0
FRB 303   446.1  35    361.1  0.269   163.5    3.0
FRB 304   208.2  35    123.2  0.003    25.8    1.0
FRB 305   167.0  35     82.0  0.025    50.6    0.0
FRB 306   456.9  35    371.9  0.245    12.0    2.0
FRB 308   428.3  35    343.3  0.413    27.5    4.0
FRB 309   421.5  35    336.5  0.339     9.1    3.0
FRB 311   375.4  35    290.4  0.068    20.5    2.0
FRB 312   309.1  35    224.1  0.094    21.7    2.0
FRB 313   302.8  35    217.8  0.042    14.3    2.0
FRB 314   217.7  35    132.7  0.015    52.2    3.0
FRB 315   611.7  35    526.7  0.332    47.9    1.0
FRB 316   317.5  35    232.5  0.200     9.2    3.0
FRB 317   306.6  35    221.6  0.341    24.9    2.0
FRB 318   161.1  35     76.1  0.034    72.8    2.0
FRB 319  1082.7  35    997.7  0.034    44.0    4.0
FRB 321   160.3  35     75.3  0.054     9.6    4.0
FRB 322   385.8  35    300.8  0.189    16.4    3.0
FRB 323   299.3  35    214.3  0.173    50.7    1.0
FRB 324   383.1  35    298.1  0.418    14.7    1.0
FRB 326   359.9  35    274.9  0.241     9.2    2.0
FRB 328   332.4  35    247.4  0.131    13.3    4.0
FRB 329   149.6  35     64.6  0.090    17.4    2.0
FRB 330   263.1  35    178.1  0.161   100.9    2.0
FRB 331   510.2  35    425.2  0.118    22.7    3.0
FRB 332   208.8  35    123.8  0.051    22.7    0.0
FRB 334  1131.8  35   1046.8  0.023    22.3    3.0
FRB 335   404.7  35    319.7  0.110     9.6    2.0
FRB 336   741.2  35    656.2  0.189    25.0    3.0
FRB 338   386.5  35    301.5  0.420    14.3    2.0
FRB 339  1206.5  35   1121.5  0.262     9.0    3.0
FRB 340   298.2  35    213.2  0.165    34.3    1.0
FRB 341   287.6  35    202.6  0.284    18.0    2.0
FRB 342   336.1  35    251.1  0.288    64.8    2.0
FRB 344   393.2  35    308.2  0.243    10.1    1.0
FRB 345   150.0  35     65.0  0.015    89.3    3.0
FRB 346   416.9  35    331.9  0.047    15.0    2.0
FRB 348   513.6  35    428.6  0.545    11.4    1.0
FRB 349   594.7  35    509.7  0.538    14.6    1.0
FRB 350   261.0  35    176.0  0.280    51.3    2.0
FRB 351   383.7  35    298.7  0.224    21.9    5.0
FRB 353   678.5  35    593.5  0.631    12.1    3.0
FRB 355   521.3  35    436.3  0.654    12.2    1.0
FRB 357   319.9  35    234.9  0.164    42.8    3.0
FRB 358   325.7  35    240.7  0.138    10.1    2.0
FRB 359   421.8  35    336.8  0.468    22.0    2.0
FRB 361   565.7  35    480.7  0.506    16.1    2.0
FRB 362   256.2  35    171.2  0.069    18.1    2.0
FRB 363   384.7  35    299.7  0.255    13.9    2.0
FRB 364   250.6  35    165.6  0.219    14.5    3.0
FRB 365   264.6  35    179.6  0.216    97.4    1.0
FRB 367   247.3  35    162.3  0.068    74.9    4.0
FRB 368   306.5  35    221.5  0.160    14.7    2.0
FRB 369   166.2  35     81.2  0.069    42.3    3.0
FRB 370   141.8  35     56.8  0.081    13.2    4.0
FRB 371   245.6  35    160.6  0.125    69.3    3.0
FRB 372  1658.0  35   1573.0  0.319    16.4    2.0
FRB 374   284.3  35    199.3  0.130    11.0    3.0
FRB 375   378.7  35    293.7  0.249    94.3    3.0
FRB 377   481.6  35    396.6  0.303    14.1    2.0
FRB 378   463.0  35    378.0  0.346    13.9    3.0
FRB 379   213.0  35    128.0  0.147    23.2    2.0
FRB 380   389.6  35    304.6  0.281    27.7    2.0
FRB 382   455.3  35    370.3  0.330    15.2    0.0
FRB 383   460.4  35    375.4  0.422    12.7    4.0
FRB 384   656.2  35    571.2  0.610    23.8    2.0
FRB 386   634.5  35    549.5  0.033     9.0    3.0
FRB 388   494.3  35    409.3  0.240    16.8    3.0
FRB 389   316.3  35    231.3  0.187    10.9    2.0
FRB 391   371.1  35    286.1  0.050    20.0    2.0
FRB 392   464.6  35    379.6  0.123     9.4    4.0
FRB 394   301.6  35    216.6  0.206    11.3    1.0
FRB 395   633.1  35    548.1  0.156   291.9    1.0
FRB 397  1365.7  35   1280.7  0.256     9.0    2.0
FRB 399  1104.5  35   1019.5  0.185    10.3    2.0
FRB 400   690.3  35    605.3  0.434    14.9    3.0
FRB 401   420.4  35    335.4  0.203    14.1    2.0
FRB 403   373.4  35    288.4  0.352    12.8    2.0
FRB 404   197.9  35    112.9  0.062    19.4    2.0
FRB 406   201.3  35    116.3  0.173     9.0    3.0
FRB 407   599.2  35    514.2  0.212    18.0    2.0
FRB 408   248.5  35    163.5  0.018   116.1    3.0
FRB 410   371.6  35    286.6  0.296    13.3    1.0
FRB 411   222.5  35    137.5  0.104    23.6    2.0
FRB 412   503.2  35    418.2  0.070    58.3    3.0
FRB 413   264.0  35    179.0  0.241    20.7    3.0
FRB 414   749.1  35    664.1  0.235    43.1    1.0
FRB 415   281.1  35    196.1  0.237    23.1    2.0
FRB 417   810.8  35    725.8  0.273    10.8    3.0
FRB 419   316.6  35    231.6  0.204    12.6    4.0
FRB 420   619.7  35    534.7  0.579    14.4    3.0
FRB 422   364.4  35    279.4  0.315    11.5    1.0
FRB 424   333.0  35    248.0  0.205    17.0    3.0
FRB 425   270.9  35    185.9  0.066    30.5    1.0
FRB 426  1144.7  35   1059.7  0.136     9.2    4.0
FRB 427   661.1  35    576.1  0.260    17.1    4.0
FRB 429   338.3  35    253.3  0.287    18.9    2.0
FRB 430   308.3  35    223.3  0.255    35.9    2.0
FRB 431   241.8  35    156.8  0.157    11.2    3.0
FRB 432   982.2  35    897.2  0.067    19.1    3.0
FRB 433   548.6  35    463.6  0.024    21.9    2.0
FRB 434   589.3  35    504.3  0.690    16.7    2.0
FRB 435   206.2  35    121.2  0.122    25.0    3.0
FRB 436  1098.5  35   1013.5  0.155    14.2    4.0
FRB 437   210.7  35    125.7  0.121    26.1    3.0
FRB 439   299.2  35    214.2  0.086    20.3    3.0
FRB 440   899.3  35    814.3  0.649     9.9    3.0
FRB 442   295.5  35    210.5  0.313    31.8    2.0
FRB 443   176.5  35     91.5  0.040    21.3    4.0
FRB 444   162.5  35     77.5  0.002   217.2    5.0
FRB 445   243.8  35    158.8  0.124    17.8    0.0
FRB 446   518.7  35    433.7  0.505    10.3    1.0
FRB 447   719.3  35    634.3  0.569    18.4    3.0
FRB 449   513.3  35    428.3  0.154    32.4    2.0
FRB 450   218.2  35    133.2  0.158    15.1    4.0
FRB 451   690.2  35    605.2  0.106    12.6    3.0
FRB 453   299.4  35    214.4  0.221    16.0    3.0
FRB 454   138.4  35     53.4  0.053     9.0    2.0
FRB 455  1016.7  35    931.7  0.289    22.5    1.0
FRB 456   413.2  35    328.2  0.449    46.8    2.0
FRB 457   428.2  35    343.2  0.532    30.5    3.0
FRB 458   403.1  35    318.1  0.321    22.9    2.0
FRB 459   578.2  35    493.2  0.021    31.6    2.0
FRB 460   330.1  35    245.1  0.248    23.2    4.0
FRB 462   443.2  35    358.2  0.332     9.6    2.0
FRB 464   518.2  35    433.2  0.003    17.7    3.0
FRB 465   468.5  35    383.5  0.337    23.3    2.0
FRB 466   164.7  35     79.7  0.079    50.8    1.0
FRB 467   241.6  35    156.6  0.194    16.9    3.0
FRB 468   271.7  35    186.7  0.148    47.3    0.0
FRB 469   990.9  35    905.9  0.132    22.5    1.0
FRB 470   123.2  35     38.2  0.034    12.5    2.0
FRB 471   432.5  35    347.5  0.402    17.0    2.0
FRB 473   286.6  35    201.6  0.090    11.3    3.0
FRB 474   374.0  35    289.0  0.199    14.3    3.0
FRB 475   415.7  35    330.7  0.399    20.0    3.0
FRB 476   365.6  35    280.6  0.243    17.6    4.0
FRB 478   227.1  35    142.1  0.150    26.0    3.0
FRB 479   166.1  35     81.1  0.093    14.8    4.0
FRB 480   285.4  35    200.4  0.247    13.7    4.0
FRB 481   139.6  35     54.6  0.003    46.6    3.0
FRB 482   284.4  35    199.4  0.183    14.4    4.0
FRB 483   205.5  35    120.5  0.109    54.4    4.0
FRB 484   605.0  35    520.0  0.040    41.9    2.0
FRB 486   305.2  35    220.2  0.234    39.3    1.0
FRB 487   262.4  35    177.4  0.116    14.2    1.0
FRB 488   764.5  35    679.5  0.069    12.8    2.0
FRB 490   669.1  35    584.1  0.399    12.1    2.0
FRB 492   788.2  35    703.2  0.143    32.1    3.0
FRB 493   873.9  35    788.9  0.072   147.6    1.0
FRB 494   649.4  35    564.4  0.577     9.1    3.0
FRB 495  1402.0  35   1317.0  0.082    30.6    1.0
FRB 497   796.9  35    711.9  0.415    13.1    3.0
FRB 499   425.5  35    340.5  0.251     9.5    1.0
FRB 501   450.7  35    365.7  0.301    13.2    3.0
FRB 502   377.8  35    292.8  0.146    23.4    4.0
FRB 503   293.1  35    208.1  0.198    74.8    1.0
FRB 504   297.6  35    212.6  0.088    21.7    1.0
FRB 506   284.5  35    199.5  0.348    27.1    2.0
FRB 507   352.1  35    267.1  0.201    26.3    1.0
FRB 508   200.9  35    115.9  0.090   141.9    1.0
FRB 509   558.9  35    473.9  0.647    14.0    2.0
FRB 510   437.1  35    352.1  0.359    14.6    2.0
FRB 512   720.3  35    635.3  0.350    11.1    3.0
FRB 514   527.3  35    442.3  0.154    20.8    3.0
FRB 515   873.2  35    788.2  0.369    11.3    3.0
FRB 516   396.5  35    311.5  0.335    34.6    2.0
FRB 518   876.5  35    791.5  0.381     9.9    4.0
FRB 519   539.7  35    454.7  0.061    20.7    2.0
FRB 521   358.4  35    273.4  0.237    22.1    2.0
FRB 522   374.9  35    289.9  0.309    10.1    1.0
FRB 523   294.6  35    209.6  0.133    16.9    3.0
FRB 524   574.2  35    489.2  0.232    14.1    2.0
FRB 526   457.1  35    372.1  0.420     9.7    3.0
FRB 528   357.2  35    272.2  0.116    49.0    1.0
FRB 529   203.5  35    118.5  0.153    50.7    4.0
FRB 530   533.7  35    448.7  0.343    19.8    2.0
FRB 531   287.1  35    202.1  0.271    13.4    2.0
FRB 532   207.3  35    122.3  0.040    14.4    4.0
FRB 533   802.6  35    717.6  0.203    18.0    1.0
FRB 534   272.3  35    187.3  0.153   173.4    1.0
FRB 535   330.3  35    245.3  0.092    69.0    3.0
FRB 536   316.6  35    231.6  0.212    19.8    2.0
FRB 538   209.6  35    124.6  0.095   132.0    5.0
FRB 539   278.8  35    193.8  0.288    41.5    2.0
FRB 540   604.6  35    519.6  0.101    13.0    4.0
FRB 541  1577.1  35   1492.1  0.091    15.3    4.0
FRB 543  1640.5  35   1555.5  0.103     9.5    0.0
FRB 544   493.8  35    408.8  0.548    22.1    0.0
FRB 545   454.3  35    369.3  0.331    17.0    2.0
FRB 546   687.4  35    602.4  0.138    24.5    5.0
FRB 547   261.7  35    176.7  0.230    17.9    2.0
FRB 548   681.7  35    596.7  0.129    26.7    3.0
FRB 549   419.6  35    334.6  0.130    35.2    2.0
FRB 550   291.4  35    206.4  0.172   109.9    3.0
FRB 551   207.6  35    122.6  0.067    43.0    2.0
FRB 552   288.4  35    203.4  0.197    22.3    3.0
FRB 554   893.3  35    808.3  0.626    19.8    3.0
FRB 555   130.7  35     45.7  0.004    10.3    0.0
FRB 557   322.7  35    237.7  0.097    11.3    4.0
FRB 558   363.5  35    278.5  0.219    71.2    3.0
FRB 559   265.0  35    180.0  0.196    16.3    2.0
FRB 560   301.2  35    216.2  0.026    43.8    5.0
FRB 561   308.0  35    223.0  0.086    25.9    4.0
FRB 562   936.8  35    851.8  0.028    35.0    1.0
FRB 563   174.3  35     89.3  0.093    26.6    3.0
FRB 565   432.7  35    347.7  0.191    50.0    3.0
FRB 566   825.8  35    740.8  0.580    12.2    2.0
FRB 567   304.8  35    219.8  0.202    14.5    1.0
FRB 569   178.1  35     93.1  0.117    10.9    3.0
FRB 570   881.5  35    796.5  0.095    40.9    4.0
FRB 571   289.7  35    204.7  0.157    42.7    1.0
FRB 572   474.7  35    389.7  0.177    16.3    3.0
FRB 573   488.1  35    403.1  0.541    14.1    2.0
FRB 575   287.4  35    202.4  0.189    16.3    2.0
FRB 576  1056.8  35    971.8  0.459    10.2    1.0
FRB 578   396.7  35    311.7  0.205    63.8    4.0
FRB 579   231.9  35    146.9  0.105    83.1    5.0
FRB 580   224.4  35    139.4  0.138    14.2    1.0
FRB 581   377.7  35    292.7  0.219    16.0    2.0
FRB 582   359.5  35    274.5  0.381    16.3    1.0
FRB 583  1047.9  35    962.9  0.086    13.2    1.0
FRB 584   233.8  35    148.8  0.169    14.5    5.0
FRB 585   539.1  35    454.1  0.203    18.5    1.0
FRB 586   127.8  35     42.8  0.032    38.8    3.0
FRB 587   524.7  35    439.7  0.536    18.9    2.0
FRB 589   349.4  35    264.4  0.074    10.3    3.0
FRB 591  1126.8  35   1041.8  0.089     9.9    5.0
FRB 593   301.2  35    216.2  0.088    10.5    3.0
FRB 595   584.9  35    499.9  0.501    14.5    1.0
FRB 596   144.5  35     59.5  0.008    28.5    0.0
FRB 597   582.1  35    497.1  0.432    15.6    4.0
FRB 598   348.5  35    263.5  0.067    16.4    2.0
FRB 599   414.6  35    329.6  0.353    20.0    3.0
FRB 600   347.7  35    262.7  0.107     9.6    2.0
FRB 601   294.2  35    209.2  0.111    81.6    2.0
FRB 602   332.4  35    247.4  0.234    28.0    1.0
FRB 604   397.3  35    312.3  0.295    12.5    5.0
FRB 606   480.1  35    395.1  0.525    17.4    1.0
FRB 607   253.3  35    168.3  0.099    15.5    2.0
FRB 608   260.6  35    175.6  0.062    16.5    3.0
FRB 609   674.3  35    589.3  0.291    13.6    3.0
FRB 611   457.7  35    372.7  0.278    10.5    4.0
FRB 613   251.4  35    166.4  0.174     9.2    3.0
FRB 614   371.8  35    286.8  0.023    20.2    2.0
FRB 616   747.2  35    662.2  0.645    13.9    2.0
FRB 618   477.0  35    392.0  0.009     9.9    1.0
FRB 620   667.1  35    582.1  0.493     9.0    3.0
FRB 622   165.3  35     80.3  0.056    24.5    2.0
FRB 623   566.9  35    481.9  0.465    21.3    2.0
FRB 624   189.4  35    104.4  0.086    14.2    1.0
FRB 625   215.6  35    130.6  0.118    10.9    4.0
