BW    336 #MHz
FRES  1 #MHz
NFRB 5388 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 6.844 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 14 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 111   368.4  35    283.4  0.067    14.4    4.0
FRB 116   360.4  35    275.4  0.063    34.5    2.0
FRB 118   337.6  35    252.6  0.296    18.4    4.0
FRB 119   385.1  35    300.1  0.089    45.5    4.0
FRB 122   321.4  35    236.4  0.214    23.6    3.0
FRB 123  1379.6  35   1294.6  0.065    16.9    4.0
FRB 124   386.0  35    301.0  0.013    18.3    3.0
FRB 127   418.0  35    333.0  0.349    21.0    2.0
FRB 128   541.0  35    456.0  0.616    26.1    3.0
FRB 129   441.3  35    356.3  0.371    17.2    1.0
FRB 131   793.8  35    708.8  0.019    16.7    5.0
FRB 133  2391.7  35   2306.7  0.156    34.7    3.0
FRB 135   463.6  35    378.6  0.142    17.9    0.0
FRB 137   486.0  35    401.0  0.364    16.5    3.0
FRB 138   219.6  35    134.6  0.010    19.1    3.0
FRB 141   327.1  35    242.1  0.165    15.4    2.0
FRB 142   333.9  35    248.9  0.301    18.3    3.0
FRB 144   582.5  35    497.5  0.287    26.8    3.0
FRB 146   606.5  35    521.5  0.161    17.4    1.0
FRB 147   443.2  35    358.2  0.421    38.3    2.0
FRB 148   533.6  35    448.6  0.358    30.6    2.0
FRB 149   225.3  35    140.3  0.165    43.0    3.0
FRB 150   351.0  35    266.0  0.086    52.1    4.0
FRB 152   268.7  35    183.7  0.193    47.2    2.0
FRB 154   283.0  35    198.0  0.188    30.9    1.0
FRB 159   723.6  35    638.6  0.175    34.8    1.0
FRB 160   561.6  35    476.6  0.373    26.3    1.0
FRB 161   595.1  35    510.1  0.114    39.2    4.0
FRB 162   287.6  35    202.6  0.179    24.2    3.0
FRB 164   234.4  35    149.4  0.251    31.1    3.0
FRB 165   624.2  35    539.2  0.579    15.4    2.0
FRB 169   296.4  35    211.4  0.214    26.2    2.0
FRB 171   321.6  35    236.6  0.148    38.8    4.0
FRB 172   375.1  35    290.1  0.287    20.7    4.0
FRB 176   419.2  35    334.2  0.274    40.0    2.0
FRB 177   482.8  35    397.8  0.478    21.0    3.0
FRB 180   529.9  35    444.9  0.477    31.2    0.0
FRB 181   383.1  35    298.1  0.375    16.4    0.0
FRB 183   394.5  35    309.5  0.207    43.7    1.0
FRB 188   277.0  35    192.0  0.168    30.4    3.0
FRB 189   322.4  35    237.4  0.153    39.0    1.0
FRB 190   704.2  35    619.2  0.433    21.7    2.0
FRB 192   642.3  35    557.3  0.563    16.6    2.0
FRB 196   421.7  35    336.7  0.272    23.6    2.0
FRB 197   596.0  35    511.0  0.484    29.7    2.0
FRB 198   554.0  35    469.0  0.636    22.5    1.0
FRB 200   801.5  35    716.5  0.236    27.3    4.0
FRB 201   263.9  35    178.9  0.284    35.4    4.0
FRB 202   218.4  35    133.4  0.030    34.4    4.0
FRB 206   317.2  35    232.2  0.149    22.3    3.0
FRB 207   412.7  35    327.7  0.197    18.3    3.0
FRB 208   421.5  35    336.5  0.007   152.4    3.0
FRB 209   349.2  35    264.2  0.152    20.5    3.0
FRB 210   242.6  35    157.6  0.051    19.0    3.0
FRB 211   505.2  35    420.2  0.377   120.7    0.0
FRB 213   407.1  35    322.1  0.395    43.9    3.0
FRB 215   250.7  35    165.7  0.100    59.8    2.0
FRB 217   640.6  35    555.6  0.263    14.6    2.0
FRB 218   306.7  35    221.7  0.318    14.2    5.0
FRB 222   200.9  35    115.9  0.009    16.0    3.0
FRB 223   180.9  35     95.9  0.075    18.7    1.0
FRB 227   381.3  35    296.3  0.256    14.3    4.0
FRB 228   305.0  35    220.0  0.249    36.5    3.0
FRB 229   437.2  35    352.2  0.262    23.8    0.0
FRB 231   552.9  35    467.9  0.717    36.0    1.0
FRB 232   947.2  35    862.2  0.325    14.9    3.0
FRB 233   615.5  35    530.5  0.243    16.3    2.0
FRB 236   455.5  35    370.5  0.239    14.3    3.0
FRB 238   309.1  35    224.1  0.167    25.5    4.0
FRB 239   531.1  35    446.1  0.361    18.3    2.0
FRB 240   454.3  35    369.3  0.482    14.9    3.0
FRB 241   353.3  35    268.3  0.341    14.1    3.0
FRB 244   543.6  35    458.6  0.328    19.7    2.0
FRB 245   138.8  35     53.8  0.003    27.7    1.0
FRB 246   197.1  35    112.1  0.067    33.1    1.0
FRB 247   600.9  35    515.9  0.442    19.6    3.0
FRB 249   513.4  35    428.4  0.575    25.6    1.0
FRB 250   502.1  35    417.1  0.226    23.9    5.0
FRB 251   226.7  35    141.7  0.181    46.0    2.0
FRB 254   817.4  35    732.4  0.563    19.6    2.0
FRB 255   397.8  35    312.8  0.197    17.1    2.0
FRB 256   411.9  35    326.9  0.166    26.4    4.0
FRB 257   267.5  35    182.5  0.175    22.3    3.0
FRB 259   509.4  35    424.4  0.359    16.6    2.0
FRB 260   558.7  35    473.7  0.654    14.5    3.0
FRB 262   160.4  35     75.4  0.146   105.2    4.0
FRB 265   303.7  35    218.7  0.022    72.2    2.0
FRB 266   533.2  35    448.2  0.434    25.5    3.0
FRB 267   414.7  35    329.7  0.078    22.8    3.0
FRB 268   164.3  35     79.3  0.063    16.5    2.0
FRB 269   421.8  35    336.8  0.300    14.1    2.0
FRB 270   372.7  35    287.7  0.077    56.9    2.0
FRB 271  1619.8  35   1534.8  0.001    38.3    4.0
FRB 273   236.5  35    151.5  0.163    16.1    3.0
FRB 274   313.7  35    228.7  0.091    95.0    2.0
FRB 276   805.0  35    720.0  0.212    16.2    4.0
FRB 278   358.2  35    273.2  0.333    27.6    3.0
FRB 280   226.3  35    141.3  0.129    20.6    1.0
FRB 281   207.6  35    122.6  0.072    89.8    1.0
FRB 284   606.9  35    521.9  0.073    28.0    4.0
FRB 288   482.6  35    397.6  0.074    15.9    2.0
FRB 289   438.9  35    353.9  0.243    25.5    3.0
FRB 290   579.8  35    494.8  0.560    14.1    3.0
FRB 291   684.1  35    599.1  0.340    15.1    1.0
FRB 292   313.7  35    228.7  0.048    47.0    3.0
FRB 293   432.2  35    347.2  0.213    46.2    3.0
FRB 295   189.9  35    104.9  0.027    27.2    1.0
FRB 297   384.1  35    299.1  0.166    33.8    1.0
FRB 298   216.6  35    131.6  0.131    33.2    2.0
FRB 299   482.6  35    397.6  0.064    19.1    2.0
FRB 300   391.7  35    306.7  0.095    23.7    3.0
FRB 301   221.7  35    136.7  0.067    28.3    4.0
FRB 302   437.2  35    352.2  0.455    16.6    3.0
FRB 303   446.1  35    361.1  0.269   163.5    3.0
FRB 304   208.2  35    123.2  0.003    25.8    1.0
FRB 305   167.0  35     82.0  0.025    50.6    0.0
FRB 308   428.3  35    343.3  0.413    27.5    4.0
FRB 311   375.4  35    290.4  0.068    20.5    2.0
FRB 312   309.1  35    224.1  0.094    21.7    2.0
FRB 313   302.8  35    217.8  0.042    14.3    2.0
FRB 314   217.7  35    132.7  0.015    52.2    3.0
FRB 315   611.7  35    526.7  0.332    47.9    1.0
FRB 317   306.6  35    221.6  0.341    24.9    2.0
FRB 318   161.1  35     76.1  0.034    72.8    2.0
FRB 319  1082.7  35    997.7  0.034    44.0    4.0
FRB 322   385.8  35    300.8  0.189    16.4    3.0
FRB 323   299.3  35    214.3  0.173    50.7    1.0
FRB 324   383.1  35    298.1  0.418    14.7    1.0
FRB 329   149.6  35     64.6  0.090    17.4    2.0
FRB 330   263.1  35    178.1  0.161   100.9    2.0
FRB 331   510.2  35    425.2  0.118    22.7    3.0
FRB 332   208.8  35    123.8  0.051    22.7    0.0
FRB 334  1131.8  35   1046.8  0.023    22.3    3.0
FRB 336   741.2  35    656.2  0.189    25.0    3.0
FRB 338   386.5  35    301.5  0.420    14.3    2.0
FRB 340   298.2  35    213.2  0.165    34.3    1.0
FRB 341   287.6  35    202.6  0.284    18.0    2.0
FRB 342   336.1  35    251.1  0.288    64.8    2.0
FRB 345   150.0  35     65.0  0.015    89.3    3.0
FRB 346   416.9  35    331.9  0.047    15.0    2.0
FRB 349   594.7  35    509.7  0.538    14.6    1.0
FRB 350   261.0  35    176.0  0.280    51.3    2.0
FRB 351   383.7  35    298.7  0.224    21.9    5.0
FRB 357   319.9  35    234.9  0.164    42.8    3.0
FRB 359   421.8  35    336.8  0.468    22.0    2.0
FRB 361   565.7  35    480.7  0.506    16.1    2.0
FRB 362   256.2  35    171.2  0.069    18.1    2.0
FRB 364   250.6  35    165.6  0.219    14.5    3.0
FRB 365   264.6  35    179.6  0.216    97.4    1.0
FRB 367   247.3  35    162.3  0.068    74.9    4.0
FRB 368   306.5  35    221.5  0.160    14.7    2.0
FRB 369   166.2  35     81.2  0.069    42.3    3.0
FRB 371   245.6  35    160.6  0.125    69.3    3.0
FRB 372  1658.0  35   1573.0  0.319    16.4    2.0
FRB 375   378.7  35    293.7  0.249    94.3    3.0
FRB 377   481.6  35    396.6  0.303    14.1    2.0
FRB 379   213.0  35    128.0  0.147    23.2    2.0
FRB 380   389.6  35    304.6  0.281    27.7    2.0
FRB 382   455.3  35    370.3  0.330    15.2    0.0
FRB 384   656.2  35    571.2  0.610    23.8    2.0
FRB 388   494.3  35    409.3  0.240    16.8    3.0
FRB 391   371.1  35    286.1  0.050    20.0    2.0
FRB 395   633.1  35    548.1  0.156   291.9    1.0
FRB 400   690.3  35    605.3  0.434    14.9    3.0
FRB 401   420.4  35    335.4  0.203    14.1    2.0
FRB 404   197.9  35    112.9  0.062    19.4    2.0
FRB 407   599.2  35    514.2  0.212    18.0    2.0
FRB 408   248.5  35    163.5  0.018   116.1    3.0
FRB 411   222.5  35    137.5  0.104    23.6    2.0
FRB 412   503.2  35    418.2  0.070    58.3    3.0
FRB 413   264.0  35    179.0  0.241    20.7    3.0
FRB 414   749.1  35    664.1  0.235    43.1    1.0
FRB 415   281.1  35    196.1  0.237    23.1    2.0
FRB 420   619.7  35    534.7  0.579    14.4    3.0
FRB 424   333.0  35    248.0  0.205    17.0    3.0
FRB 425   270.9  35    185.9  0.066    30.5    1.0
FRB 427   661.1  35    576.1  0.260    17.1    4.0
FRB 429   338.3  35    253.3  0.287    18.9    2.0
FRB 430   308.3  35    223.3  0.255    35.9    2.0
FRB 432   982.2  35    897.2  0.067    19.1    3.0
FRB 433   548.6  35    463.6  0.024    21.9    2.0
FRB 434   589.3  35    504.3  0.690    16.7    2.0
FRB 435   206.2  35    121.2  0.122    25.0    3.0
FRB 436  1098.5  35   1013.5  0.155    14.2    4.0
FRB 437   210.7  35    125.7  0.121    26.1    3.0
FRB 439   299.2  35    214.2  0.086    20.3    3.0
FRB 442   295.5  35    210.5  0.313    31.8    2.0
FRB 443   176.5  35     91.5  0.040    21.3    4.0
FRB 444   162.5  35     77.5  0.002   217.2    5.0
FRB 445   243.8  35    158.8  0.124    17.8    0.0
FRB 447   719.3  35    634.3  0.569    18.4    3.0
FRB 449   513.3  35    428.3  0.154    32.4    2.0
FRB 450   218.2  35    133.2  0.158    15.1    4.0
FRB 453   299.4  35    214.4  0.221    16.0    3.0
FRB 455  1016.7  35    931.7  0.289    22.5    1.0
FRB 456   413.2  35    328.2  0.449    46.8    2.0
FRB 457   428.2  35    343.2  0.532    30.5    3.0
FRB 458   403.1  35    318.1  0.321    22.9    2.0
FRB 459   578.2  35    493.2  0.021    31.6    2.0
FRB 460   330.1  35    245.1  0.248    23.2    4.0
FRB 464   518.2  35    433.2  0.003    17.7    3.0
FRB 465   468.5  35    383.5  0.337    23.3    2.0
FRB 466   164.7  35     79.7  0.079    50.8    1.0
FRB 467   241.6  35    156.6  0.194    16.9    3.0
FRB 468   271.7  35    186.7  0.148    47.3    0.0
FRB 469   990.9  35    905.9  0.132    22.5    1.0
FRB 471   432.5  35    347.5  0.402    17.0    2.0
FRB 474   374.0  35    289.0  0.199    14.3    3.0
FRB 475   415.7  35    330.7  0.399    20.0    3.0
FRB 476   365.6  35    280.6  0.243    17.6    4.0
FRB 478   227.1  35    142.1  0.150    26.0    3.0
FRB 479   166.1  35     81.1  0.093    14.8    4.0
FRB 481   139.6  35     54.6  0.003    46.6    3.0
FRB 482   284.4  35    199.4  0.183    14.4    4.0
FRB 483   205.5  35    120.5  0.109    54.4    4.0
FRB 484   605.0  35    520.0  0.040    41.9    2.0
FRB 486   305.2  35    220.2  0.234    39.3    1.0
FRB 487   262.4  35    177.4  0.116    14.2    1.0
FRB 492   788.2  35    703.2  0.143    32.1    3.0
FRB 493   873.9  35    788.9  0.072   147.6    1.0
FRB 495  1402.0  35   1317.0  0.082    30.6    1.0
FRB 502   377.8  35    292.8  0.146    23.4    4.0
FRB 503   293.1  35    208.1  0.198    74.8    1.0
FRB 504   297.6  35    212.6  0.088    21.7    1.0
FRB 506   284.5  35    199.5  0.348    27.1    2.0
FRB 507   352.1  35    267.1  0.201    26.3    1.0
FRB 508   200.9  35    115.9  0.090   141.9    1.0
FRB 510   437.1  35    352.1  0.359    14.6    2.0
FRB 514   527.3  35    442.3  0.154    20.8    3.0
FRB 516   396.5  35    311.5  0.335    34.6    2.0
FRB 519   539.7  35    454.7  0.061    20.7    2.0
FRB 521   358.4  35    273.4  0.237    22.1    2.0
FRB 523   294.6  35    209.6  0.133    16.9    3.0
FRB 524   574.2  35    489.2  0.232    14.1    2.0
FRB 528   357.2  35    272.2  0.116    49.0    1.0
FRB 529   203.5  35    118.5  0.153    50.7    4.0
FRB 530   533.7  35    448.7  0.343    19.8    2.0
FRB 532   207.3  35    122.3  0.040    14.4    4.0
FRB 533   802.6  35    717.6  0.203    18.0    1.0
FRB 534   272.3  35    187.3  0.153   173.4    1.0
FRB 535   330.3  35    245.3  0.092    69.0    3.0
FRB 536   316.6  35    231.6  0.212    19.8    2.0
FRB 538   209.6  35    124.6  0.095   132.0    5.0
FRB 539   278.8  35    193.8  0.288    41.5    2.0
FRB 541  1577.1  35   1492.1  0.091    15.3    4.0
FRB 544   493.8  35    408.8  0.548    22.1    0.0
FRB 545   454.3  35    369.3  0.331    17.0    2.0
FRB 546   687.4  35    602.4  0.138    24.5    5.0
FRB 547   261.7  35    176.7  0.230    17.9    2.0
FRB 548   681.7  35    596.7  0.129    26.7    3.0
FRB 549   419.6  35    334.6  0.130    35.2    2.0
FRB 550   291.4  35    206.4  0.172   109.9    3.0
FRB 551   207.6  35    122.6  0.067    43.0    2.0
FRB 552   288.4  35    203.4  0.197    22.3    3.0
FRB 554   893.3  35    808.3  0.626    19.8    3.0
FRB 558   363.5  35    278.5  0.219    71.2    3.0
FRB 559   265.0  35    180.0  0.196    16.3    2.0
FRB 560   301.2  35    216.2  0.026    43.8    5.0
FRB 561   308.0  35    223.0  0.086    25.9    4.0
FRB 562   936.8  35    851.8  0.028    35.0    1.0
FRB 563   174.3  35     89.3  0.093    26.6    3.0
FRB 565   432.7  35    347.7  0.191    50.0    3.0
FRB 567   304.8  35    219.8  0.202    14.5    1.0
FRB 570   881.5  35    796.5  0.095    40.9    4.0
FRB 571   289.7  35    204.7  0.157    42.7    1.0
FRB 572   474.7  35    389.7  0.177    16.3    3.0
FRB 573   488.1  35    403.1  0.541    14.1    2.0
FRB 575   287.4  35    202.4  0.189    16.3    2.0
FRB 578   396.7  35    311.7  0.205    63.8    4.0
FRB 579   231.9  35    146.9  0.105    83.1    5.0
FRB 580   224.4  35    139.4  0.138    14.2    1.0
FRB 581   377.7  35    292.7  0.219    16.0    2.0
FRB 582   359.5  35    274.5  0.381    16.3    1.0
FRB 584   233.8  35    148.8  0.169    14.5    5.0
FRB 585   539.1  35    454.1  0.203    18.5    1.0
FRB 586   127.8  35     42.8  0.032    38.8    3.0
FRB 587   524.7  35    439.7  0.536    18.9    2.0
FRB 595   584.9  35    499.9  0.501    14.5    1.0
FRB 596   144.5  35     59.5  0.008    28.5    0.0
FRB 597   582.1  35    497.1  0.432    15.6    4.0
FRB 598   348.5  35    263.5  0.067    16.4    2.0
FRB 599   414.6  35    329.6  0.353    20.0    3.0
FRB 601   294.2  35    209.2  0.111    81.6    2.0
FRB 602   332.4  35    247.4  0.234    28.0    1.0
FRB 606   480.1  35    395.1  0.525    17.4    1.0
FRB 607   253.3  35    168.3  0.099    15.5    2.0
FRB 608   260.6  35    175.6  0.062    16.5    3.0
FRB 614   371.8  35    286.8  0.023    20.2    2.0
FRB 622   165.3  35     80.3  0.056    24.5    2.0
FRB 623   566.9  35    481.9  0.465    21.3    2.0
FRB 624   189.4  35    104.4  0.086    14.2    1.0
FRB 628   845.8  35    760.8  0.145    20.2    1.0
FRB 629   291.3  35    206.3  0.228    15.7    2.0
FRB 631   846.1  35    761.1  0.027    42.7    3.0
FRB 635   349.5  35    264.5  0.093    14.9    2.0
FRB 636   354.0  35    269.0  0.094    29.4    0.0
FRB 641   320.2  35    235.2  0.198    47.2    3.0
FRB 643   672.1  35    587.1  0.102    22.4    2.0
FRB 644   324.5  35    239.5  0.334    28.1    3.0
FRB 649   493.8  35    408.8  0.608    26.1    1.0
FRB 650   432.9  35    347.9  0.427    17.5    1.0
FRB 653   417.4  35    332.4  0.363    14.4    3.0
FRB 655   329.4  35    244.4  0.097    19.9    4.0
FRB 656   295.1  35    210.1  0.166    15.7    3.0
FRB 657   706.4  35    621.4  0.071    17.1    2.0
FRB 659   238.4  35    153.4  0.089    78.7    1.0
FRB 662   264.8  35    179.8  0.120    25.2    2.0
FRB 664   396.0  35    311.0  0.327    21.1    3.0
FRB 665   342.4  35    257.4  0.136    58.9    3.0
FRB 667   284.2  35    199.2  0.244    92.6    3.0
FRB 672  2918.0  35   2833.0  0.160    32.7    3.0
FRB 673   523.5  35    438.5  0.107    14.9    3.0
FRB 674   363.6  35    278.6  0.012    19.6    1.0
FRB 677   575.2  35    490.2  0.460    14.5    1.0
FRB 678   444.3  35    359.3  0.448    19.1    4.0
FRB 679   201.6  35    116.6  0.006    18.2    3.0
FRB 681   309.0  35    224.0  0.306   109.2    0.0
FRB 683   304.8  35    219.8  0.007    19.3    3.0
FRB 684   431.0  35    346.0  0.264    62.6    2.0
FRB 688  1428.0  35   1343.0  0.409    37.0    2.0
FRB 689   256.7  35    171.7  0.242    16.3    3.0
FRB 691   279.0  35    194.0  0.089    30.2    3.0
FRB 692   157.9  35     72.9  0.022    14.7    3.0
FRB 693   289.4  35    204.4  0.162    15.7    3.0
FRB 696   914.1  35    829.1  0.331    19.4    2.0
FRB 697   844.5  35    759.5  0.504    19.3    2.0
FRB 698   295.3  35    210.3  0.043    32.1    2.0
FRB 703   332.5  35    247.5  0.270    27.8    3.0
FRB 706   831.3  35    746.3  0.128    24.3    2.0
FRB 707   206.9  35    121.9  0.048    21.3    4.0
FRB 709   564.8  35    479.8  0.627    25.8    0.0
FRB 710   364.3  35    279.3  0.093    22.6    2.0
FRB 711   370.4  35    285.4  0.265   122.7    3.0
FRB 712  1026.3  35    941.3  0.166    22.8    5.0
FRB 713   511.7  35    426.7  0.298    21.3    1.0
FRB 715   414.1  35    329.1  0.223    15.1    2.0
FRB 716   293.4  35    208.4  0.279    15.8    3.0
FRB 717   262.9  35    177.9  0.321    20.3    1.0
FRB 718   420.1  35    335.1  0.238    33.1    4.0
FRB 729   886.1  35    801.1  0.195    52.7    2.0
FRB 730   328.0  35    243.0  0.053    32.6    2.0
FRB 731   204.8  35    119.8  0.105    21.3    3.0
FRB 732   449.7  35    364.7  0.004   121.0    3.0
FRB 734   483.3  35    398.3  0.307    15.2    1.0
FRB 737   255.6  35    170.6  0.209    22.1    1.0
FRB 738   604.0  35    519.0  0.126    49.4    2.0
FRB 740   531.7  35    446.7  0.391    91.5    0.0
FRB 741   308.1  35    223.1  0.270    30.4    2.0
FRB 742   527.3  35    442.3  0.333    28.6    2.0
FRB 746   434.5  35    349.5  0.284    19.5    0.0
FRB 749   257.3  35    172.3  0.056   167.0    1.0
FRB 752   252.5  35    167.5  0.008    30.1    2.0
FRB 753   287.8  35    202.8  0.159    36.4    3.0
FRB 754   448.4  35    363.4  0.056    20.0    3.0
FRB 755   343.2  35    258.2  0.218    35.9    3.0
FRB 758   375.0  35    290.0  0.012    15.6    4.0
FRB 761   297.0  35    212.0  0.197    79.4    2.0
FRB 763   613.0  35    528.0  0.416    14.2    3.0
FRB 765   604.3  35    519.3  0.529    14.0    3.0
FRB 767   389.4  35    304.4  0.338    14.3    1.0
FRB 770   226.6  35    141.6  0.059    21.1    4.0
FRB 772   286.2  35    201.2  0.079    64.0    4.0
FRB 774   704.2  35    619.2  0.597    15.5    3.0
FRB 780   343.3  35    258.3  0.088    15.4    2.0
FRB 782  1057.2  35    972.2  0.041    17.7    3.0
FRB 783   387.6  35    302.6  0.065    17.9    3.0
FRB 787   218.2  35    133.2  0.158    14.8    2.0
FRB 788   334.8  35    249.8  0.196    22.4    2.0
FRB 791   306.0  35    221.0  0.258    25.7    3.0
FRB 795   340.2  35    255.2  0.304    14.7    3.0
FRB 796   362.7  35    277.7  0.421    20.4    0.0
FRB 801   314.9  35    229.9  0.138    21.6    4.0
FRB 802   328.5  35    243.5  0.396    17.8    2.0
FRB 803   418.8  35    333.8  0.422    39.2    2.0
FRB 807   601.8  35    516.8  0.176    89.9    3.0
FRB 808   204.5  35    119.5  0.106    30.4    2.0
FRB 809   231.3  35    146.3  0.228    19.9    0.0
FRB 810   778.4  35    693.4  0.188    14.0    4.0
FRB 813   312.5  35    227.5  0.133    16.0    3.0
FRB 814   778.9  35    693.9  0.460    15.3    0.0
FRB 815   585.4  35    500.4  0.276    25.2    1.0
FRB 817   327.5  35    242.5  0.373    15.7    2.0
FRB 820   340.1  35    255.1  0.095    17.1    3.0
FRB 822   442.7  35    357.7  0.126    14.3    5.0
FRB 823  1325.6  35   1240.6  0.261    19.9    2.0
FRB 824  1393.1  35   1308.1  0.139    30.9    3.0
FRB 826   219.8  35    134.8  0.166    14.2    2.0
FRB 829   482.6  35    397.6  0.183    84.5    3.0
FRB 831   219.9  35    134.9  0.031    30.4    4.0
FRB 834   441.5  35    356.5  0.251    14.7    2.0
FRB 836   648.0  35    563.0  0.432    14.1    1.0
FRB 837   384.5  35    299.5  0.319    15.7    3.0
FRB 838   452.3  35    367.3  0.056    14.4    3.0
FRB 842   183.7  35     98.7  0.041   164.0    2.0
FRB 845   288.4  35    203.4  0.166   127.2    3.0
FRB 848   645.7  35    560.7  0.450    14.7    4.0
FRB 849   440.6  35    355.6  0.040   587.8    2.0
FRB 850   236.4  35    151.4  0.031    22.8    3.0
FRB 859   256.7  35    171.7  0.069    32.0    4.0
FRB 861   611.9  35    526.9  0.265    16.8    2.0
FRB 862   368.4  35    283.4  0.068    34.3    1.0
FRB 864   909.2  35    824.2  0.158    29.5    2.0
FRB 866   318.2  35    233.2  0.160    62.1    3.0
FRB 867   391.5  35    306.5  0.080    23.6    1.0
FRB 868   736.4  35    651.4  0.293    21.4    3.0
FRB 869   295.0  35    210.0  0.186    19.3    3.0
FRB 871   220.3  35    135.3  0.057    39.0    3.0
FRB 873   334.8  35    249.8  0.010    19.6    2.0
FRB 875   441.2  35    356.2  0.116   135.2    2.0
FRB 876   309.1  35    224.1  0.271    14.9    1.0
FRB 877   461.6  35    376.6  0.063    48.8    2.0
FRB 880   865.0  35    780.0  0.315    22.9    3.0
FRB 881   198.8  35    113.8  0.002    17.9    3.0
FRB 882   628.6  35    543.6  0.528    42.4    0.0
FRB 883   177.8  35     92.8  0.108    91.9    2.0
FRB 885   418.8  35    333.8  0.289    20.9    1.0
FRB 886   889.3  35    804.3  0.144    24.2    3.0
FRB 888   345.4  35    260.4  0.171    20.7    2.0
FRB 891   835.3  35    750.3  0.009    19.8    3.0
FRB 894   522.6  35    437.6  0.227    24.1    4.0
FRB 895   476.8  35    391.8  0.449    31.8    2.0
FRB 897   546.6  35    461.6  0.238    27.5    1.0
FRB 898   525.1  35    440.1  0.566    15.4    3.0
FRB 899   350.1  35    265.1  0.099    40.7    3.0
FRB 900   193.2  35    108.2  0.148    14.9    5.0
FRB 901   397.0  35    312.0  0.135    27.3    3.0
FRB 903   257.4  35    172.4  0.110   112.4    2.0
FRB 906   763.8  35    678.8  0.372    19.4    3.0
FRB 908   574.4  35    489.4  0.040    77.6    4.0
FRB 910   221.4  35    136.4  0.107    21.0    3.0
FRB 913   321.6  35    236.6  0.081    20.3    2.0
