BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 50
NORM_FRB 50
TOBS 48.325 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
FRB 108   634.5  35    549.5  0.376   138.9    0.0
FRB 109   459.6  35    374.6  0.296    30.9    0.0
FRB 110  1234.4  35   1149.4  0.373    22.7    1.0
FRB 111   239.6  35    154.6  0.199    18.0    2.0
FRB 112   307.8  35    222.8  0.009    19.5    3.0
FRB 113   740.5  35    655.5  0.967    10.4    0.0
FRB 114  1072.6  35    987.6  0.937    12.3    2.0
FRB 115   511.0  35    426.0  0.136    15.3    2.0
FRB 116   549.3  35    464.3  0.178    70.2    2.0
FRB 117   970.3  35    885.3  0.783     9.8    3.0
FRB 118  1118.0  35   1033.0  0.477    11.3    3.0
FRB 119   419.6  35    334.6  0.240    25.6    2.0
FRB 120   977.8  35    892.8  0.392    24.8    3.0
FRB 121   298.9  35    213.9  0.072    11.7    0.0
FRB 122   332.0  35    247.0  0.171    15.2    0.0
FRB 123  1062.5  35    977.5  1.023    21.3    2.0
FRB 124  1308.8  35   1223.8  1.515    10.0    1.0
FRB 125  1229.3  35   1144.3  1.268    12.4    2.0
FRB 126   995.3  35    910.3  1.306     9.8    3.0
FRB 127  1139.4  35   1054.4  1.176    19.4    1.0
FRB 128   422.3  35    337.3  0.215    12.0    3.0
FRB 129   340.7  35    255.7  0.261    20.2    2.0
FRB 130   239.8  35    154.8  0.038    11.1    3.0
FRB 131  1309.8  35   1224.8  1.732    11.1    1.0
FRB 132   188.7  35    103.7  0.038    19.2    2.0
FRB 133   717.0  35    632.0  0.805    12.7    4.0
FRB 134   441.2  35    356.2  0.260    11.1    1.0
FRB 135   676.3  35    591.3  0.781    10.8    3.0
FRB 136   333.3  35    248.3  0.191    14.9    2.0
FRB 137   649.8  35    564.8  0.294    18.0    2.0
FRB 138   482.7  35    397.7  0.274    25.6    3.0
FRB 139  1080.7  35    995.7  0.858    22.2    3.0
FRB 140   105.0  35     20.0  0.001    10.6    2.0
FRB 141  1433.9  35   1348.9  0.904    11.8    1.0
FRB 142   726.1  35    641.1  0.519    19.8    2.0
FRB 143  1136.2  35   1051.2  0.948    10.8    2.0
FRB 144   365.2  35    280.2  0.353    25.3    1.0
FRB 145   516.4  35    431.4  0.060    21.8    2.0
FRB 146   478.3  35    393.3  0.496    25.2    2.0
FRB 147   204.0  35    119.0  0.090    66.6    3.0
FRB 148   249.1  35    164.1  0.158    18.2    3.0
FRB 149   696.3  35    611.3  0.482    10.3    1.0
FRB 150   989.9  35    904.9  0.866    10.5    3.0
FRB 151   177.8  35     92.8  0.004    20.2    0.0
FRB 152   248.7  35    163.7  0.220    28.8    1.0
FRB 153   962.5  35    877.5  0.780    10.1    2.0
FRB 154   671.7  35    586.7  0.500    17.5    1.0
FRB 155   563.0  35    478.0  0.589    34.2    3.0
FRB 156   813.9  35    728.9  0.862    10.3    1.0
FRB 157  1192.1  35   1107.1  1.125    11.0    1.0
FRB 158   505.6  35    420.6  0.605    15.7    2.0
FRB 159  1429.1  35   1344.1  1.777    10.1    0.0
FRB 160   560.8  35    475.8  0.417    26.5    2.0
FRB 161  1210.7  35   1125.7  0.740    11.1    3.0
FRB 162   269.0  35    184.0  0.018    14.5    2.0
FRB 163   633.2  35    548.2  0.162   172.5    2.0
FRB 164   759.1  35    674.1  0.471    13.7    2.0
FRB 165   598.0  35    513.0  0.263    11.2    3.0
FRB 166   241.2  35    156.2  0.092    12.4    2.0
FRB 167   778.6  35    693.6  0.786    26.4    2.0
FRB 168   105.6  35     20.6  0.010    12.6    2.0
FRB 169   415.0  35    330.0  0.422    10.5    4.0
FRB 170   260.9  35    175.9  0.138    24.5    4.0
FRB 171   300.9  35    215.9  0.224   251.6    3.0
FRB 172  1174.1  35   1089.1  1.470    11.9    2.0
FRB 173   917.4  35    832.4  0.594    27.7    1.0
FRB 174   751.3  35    666.3  0.493    14.8    2.0
FRB 175   296.6  35    211.6  0.270    27.6    3.0
FRB 176   554.2  35    469.2  0.542    19.4    3.0
FRB 177   753.4  35    668.4  1.051    19.0    2.0
FRB 178   723.8  35    638.8  0.749    11.2    1.0
FRB 179   175.3  35     90.3  0.108    19.1    2.0
FRB 180   259.9  35    174.9  0.212    15.7    4.0
FRB 181  1648.5  35   1563.5  1.354    11.6    3.0
FRB 182   608.6  35    523.6  0.236    10.6    3.0
FRB 183   340.1  35    255.1  0.281    23.4    0.0
FRB 184   225.8  35    140.8  0.215   141.0    2.0
FRB 185   353.3  35    268.3  0.003    20.4    3.0
FRB 186   528.8  35    443.8  0.166    10.3    4.0
FRB 187   405.8  35    320.8  0.102    10.8    2.0
FRB 188   103.9  35     18.9  0.002     9.7    1.0
FRB 189   165.9  35     80.9  0.078   124.0    2.0
FRB 190   561.9  35    476.9  0.425    12.2    2.0
FRB 191   263.1  35    178.1  0.218    42.4    2.0
FRB 192   279.6  35    194.6  0.072   134.6    2.0
FRB 193   514.0  35    429.0  0.246    63.1    3.0
FRB 194   635.9  35    550.9  0.071    31.0    3.0
FRB 195   799.6  35    714.6  1.014    18.5    2.0
FRB 196   555.8  35    470.8  0.622    10.9    3.0
FRB 197   304.5  35    219.5  0.087    11.2    0.0
FRB 198   492.2  35    407.2  0.374    29.3    3.0
FRB 199  1309.2  35   1224.2  0.739    18.8    3.0
FRB 200   720.6  35    635.6  0.747    41.2    2.0
FRB 201   883.3  35    798.3  1.047    13.6    1.0
FRB 202   439.1  35    354.1  0.332    10.2    4.0
FRB 203   439.6  35    354.6  0.038    21.7    2.0
FRB 204   529.5  35    444.5  0.467    14.2    3.0
FRB 205  1462.9  35   1377.9  0.361    15.7    3.0
FRB 206   862.4  35    777.4  0.596    10.2    3.0
FRB 207  1299.5  35   1214.5  0.221    48.4    3.0
FRB 208   516.5  35    431.5  0.665    10.3    3.0
FRB 209   978.6  35    893.6  0.303    11.1    1.0
FRB 210   534.6  35    449.6  0.113    10.6    2.0
FRB 211  1127.2  35   1042.2  1.065    24.1    1.0
FRB 212   882.2  35    797.2  1.055    13.4    3.0
FRB 213   216.6  35    131.6  0.086    13.5    1.0
FRB 214   363.7  35    278.7  0.473    19.2    3.0
FRB 215   297.0  35    212.0  0.126    10.4    3.0
FRB 216   748.0  35    663.0  0.158    18.6    2.0
FRB 217  1039.2  35    954.2  0.288    25.8    4.0
FRB 218   529.7  35    444.7  0.154    10.9    2.0
FRB 219   333.1  35    248.1  0.061    17.0    4.0
FRB 220   261.2  35    176.2  0.178    17.2    3.0
FRB 221   229.9  35    144.9  0.108    10.5    2.0
FRB 222   551.4  35    466.4  0.547    21.1    2.0
FRB 223   402.8  35    317.8  0.507    10.4    4.0
FRB 224   910.2  35    825.2  1.045    11.4    3.0
FRB 225  1339.4  35   1254.4  0.796    13.3    3.0
FRB 226  1035.4  35    950.4  0.359    13.7    2.0
FRB 227   484.2  35    399.2  0.529    30.4    3.0
FRB 228   268.8  35    183.8  0.104    18.8    4.0
FRB 229   303.4  35    218.4  0.007    11.6    2.0
FRB 230   390.4  35    305.4  0.456    18.6    2.0
FRB 231   390.3  35    305.3  0.038    35.8    1.0
FRB 232  1115.8  35   1030.8  0.824    10.1    3.0
FRB 233  1025.4  35    940.4  0.777    11.5    3.0
FRB 234   754.0  35    669.0  0.876    10.8    4.0
FRB 235   348.9  35    263.9  0.221    64.4    2.0
FRB 236  1862.8  35   1777.8  1.100    12.3    2.0
FRB 237  1077.1  35    992.1  0.399   115.9    2.0
FRB 238  1531.8  35   1446.8  1.241    10.7    3.0
FRB 239   663.3  35    578.3  0.200    12.2    4.0
FRB 240   883.8  35    798.8  1.029    28.4    2.0
FRB 241   359.6  35    274.6  0.291    21.7    2.0
FRB 242   322.0  35    237.0  0.315    13.8    1.0
FRB 243  1651.5  35   1566.5  0.351    26.8    2.0
FRB 244   328.6  35    243.6  0.146    12.7    2.0
FRB 245   319.4  35    234.4  0.233    16.2    3.0
FRB 246   758.4  35    673.4  0.759    14.5    4.0
FRB 247   256.9  35    171.9  0.118    13.3    2.0
FRB 248   819.7  35    734.7  1.045    22.6    1.0
FRB 249   374.7  35    289.7  0.181    99.4    3.0
FRB 250   740.9  35    655.9  0.806    30.0    0.0
FRB 251   546.4  35    461.4  0.317    24.4    3.0
FRB 252   884.2  35    799.2  1.148    23.1    2.0
FRB 253   581.9  35    496.9  0.526    13.4    3.0
FRB 254   545.2  35    460.2  0.745    12.3    2.0
FRB 255   671.9  35    586.9  0.665    16.3    2.0
FRB 256   594.2  35    509.2  0.607    16.4    3.0
FRB 257   772.5  35    687.5  0.750    12.2    3.0
FRB 258   970.8  35    885.8  1.159     9.8    2.0
FRB 259   393.3  35    308.3  0.305    10.0    5.0
FRB 260   446.8  35    361.8  0.366    19.7    3.0
FRB 261   553.1  35    468.1  0.635    15.6    3.0
FRB 262   296.3  35    211.3  0.220    48.6    2.0
FRB 263   301.3  35    216.3  0.235    10.2    3.0
FRB 264  1078.5  35    993.5  0.840    15.8    3.0
FRB 265   848.9  35    763.9  0.976    10.0    3.0
FRB 266   544.2  35    459.2  0.596    16.8    3.0
FRB 267   413.4  35    328.4  0.482    10.2    0.0
FRB 268   606.4  35    521.4  0.559    11.4    3.0
FRB 269   818.0  35    733.0  0.095    10.6    1.0
FRB 270   216.6  35    131.6  0.056    13.1    3.0
FRB 271   399.2  35    314.2  0.082     9.9    2.0
FRB 272   807.2  35    722.2  1.022    25.5    0.0
FRB 273  1056.3  35    971.3  0.793    13.3    3.0
FRB 274   592.1  35    507.1  0.430    32.4    3.0
FRB 275   267.8  35    182.8  0.088    52.7    3.0
FRB 276   274.4  35    189.4  0.261    32.2    2.0
FRB 277   292.2  35    207.2  0.102    28.0    4.0
FRB 278   742.0  35    657.0  0.542    14.1    3.0
FRB 279   266.5  35    181.5  0.052    14.3    2.0
FRB 280   648.9  35    563.9  0.547    14.2    1.0
FRB 281  1041.8  35    956.8  0.815    12.5    3.0
FRB 282   537.1  35    452.1  0.520    19.9    4.0
FRB 283   271.0  35    186.0  0.132    24.8    3.0
FRB 284  1241.6  35   1156.6  1.275     9.8    2.0
FRB 285   850.9  35    765.9  1.144    15.3    3.0
FRB 286   591.2  35    506.2  0.523    10.6    2.0
FRB 287   910.9  35    825.9  0.832    17.2    1.0
FRB 288   347.8  35    262.8  0.343    14.4    3.0
FRB 289   393.8  35    308.8  0.501   103.3    0.0
FRB 290   415.3  35    330.3  0.251     9.7    2.0
FRB 291   757.2  35    672.2  0.790    29.0    2.0
FRB 292   342.2  35    257.2  0.310    26.8    0.0
FRB 293   319.0  35    234.0  0.246    18.0    3.0
FRB 294   997.3  35    912.3  1.124    10.6    4.0
FRB 295   295.4  35    210.4  0.220    18.4    3.0
FRB 296   505.9  35    420.9  0.322     9.6    4.0
FRB 297   547.9  35    462.9  0.064    10.8    3.0
FRB 298   290.8  35    205.8  0.249    10.3    2.0
FRB 299   419.3  35    334.3  0.412    15.1    3.0
FRB 300   753.9  35    668.9  0.404    11.4    3.0
FRB 301  1230.4  35   1145.4  1.242    12.3    1.0
FRB 302   610.9  35    525.9  0.802    14.4    0.0
FRB 303   715.6  35    630.6  0.084    80.8    1.0
FRB 304   464.8  35    379.8  0.411    16.2    1.0
FRB 305   500.5  35    415.5  0.616    99.3    1.0
FRB 306  2071.6  35   1986.6  0.378     9.7    3.0
FRB 307  1093.2  35   1008.2  1.112    11.1    3.0
FRB 308   359.9  35    274.9  0.305    41.1    2.0
FRB 309   209.9  35    124.9  0.124    19.0    2.0
FRB 310   416.8  35    331.8  0.412    11.4    2.0
FRB 311   306.9  35    221.9  0.145    49.4    3.0
FRB 312   519.6  35    434.6  0.567    11.5    3.0
FRB 313   277.1  35    192.1  0.020    10.6    1.0
FRB 314   358.1  35    273.1  0.408    11.2    5.0
FRB 315   301.7  35    216.7  0.195    44.9    3.0
FRB 316   674.2  35    589.2  0.605    13.2    3.0
FRB 317   608.1  35    523.1  0.468    52.1    2.0
FRB 318   792.4  35    707.4  0.658    16.0    0.0
FRB 319   214.4  35    129.4  0.053   310.3    1.0
FRB 320   309.3  35    224.3  0.137    14.9    3.0
FRB 321   421.4  35    336.4  0.230    10.0    4.0
FRB 322  1206.4  35   1121.4  1.462    10.1    2.0
FRB 323   219.6  35    134.6  0.174    14.2    0.0
FRB 324   472.3  35    387.3  0.312    15.7    4.0
FRB 325  1347.8  35   1262.8  1.620     9.9    2.0
FRB 326   442.3  35    357.3  0.405    14.1    0.0
FRB 327   222.9  35    137.9  0.019    24.4    3.0
FRB 328   225.3  35    140.3  0.137    13.1    0.0
FRB 329   769.0  35    684.0  0.667    11.1    3.0
FRB 330   462.0  35    377.0  0.444    27.3    2.0
FRB 331   588.7  35    503.7  0.622    10.8    1.0
FRB 332  1239.0  35   1154.0  0.549    12.6    2.0
FRB 333   780.2  35    695.2  0.867    23.4    1.0
FRB 334   580.6  35    495.6  0.502    25.1    2.0
FRB 335  1149.0  35   1064.0  1.331    13.2    2.0
FRB 336   251.5  35    166.5  0.172    30.8    2.0
FRB 337   565.2  35    480.2  0.269    14.2    2.0
FRB 338   132.1  35     47.1  0.001    27.2    3.0
FRB 339   122.9  35     37.9  0.001    15.1    0.0
FRB 340   645.8  35    560.8  0.209    40.0    3.0
FRB 341   848.3  35    763.3  0.843    15.5    2.0
FRB 342   955.0  35    870.0  0.721    21.8    3.0
FRB 343   662.4  35    577.4  0.891    13.8    2.0
FRB 344   539.4  35    454.4  0.009    18.2    4.0
FRB 345   353.7  35    268.7  0.300    11.2    3.0
FRB 346   564.9  35    479.9  0.076     9.9    2.0
FRB 347   395.8  35    310.8  0.466    46.1    1.0
FRB 348   972.0  35    887.0  0.305    23.1    3.0
FRB 349  1699.6  35   1614.6  0.729    18.9    3.0
FRB 350   250.8  35    165.8  0.085   275.5    1.0
FRB 351   477.4  35    392.4  0.270    12.8    3.0
FRB 352   758.1  35    673.1  0.581    44.1    3.0
FRB 353   292.5  35    207.5  0.203    55.8    3.0
FRB 354   269.4  35    184.4  0.254    16.6    1.0
FRB 355   394.5  35    309.5  0.007    10.6    2.0
FRB 356  1304.1  35   1219.1  1.383    14.9    1.0
FRB 357   328.7  35    243.7  0.089    18.8    4.0
FRB 358  1016.2  35    931.2  1.225    12.7    3.0
FRB 359   356.7  35    271.7  0.098     9.6    3.0
FRB 360   676.7  35    591.7  0.772    12.2    3.0
FRB 361  1422.9  35   1337.9  0.277   100.4    3.0
FRB 362   689.0  35    604.0  0.877    11.0    3.0
FRB 363   140.5  35     55.5  0.048    44.7    4.0
FRB 364   486.9  35    401.9  0.243   116.7    1.0
FRB 365   429.1  35    344.1  0.350    72.6    3.0
FRB 366   512.7  35    427.7  0.291    18.9    3.0
FRB 367   255.2  35    170.2  0.101    51.9    1.0
FRB 368   660.1  35    575.1  0.483    30.3    0.0
FRB 369   499.8  35    414.8  0.452     9.6    3.0
FRB 370   478.1  35    393.1  0.342    33.1    2.0
FRB 371  1041.6  35    956.6  1.108    12.5    2.0
FRB 372   224.1  35    139.1  0.194    32.5    3.0
FRB 373   764.5  35    679.5  0.803    11.8    3.0
FRB 374  1062.2  35    977.2  0.767    22.3    1.0
FRB 375   705.2  35    620.2  0.954    10.6    3.0
FRB 376   650.0  35    565.0  0.542    34.0    4.0
FRB 377   163.9  35     78.9  0.028    35.9    2.0
FRB 378  1370.2  35   1285.2  0.558    15.1    3.0
FRB 379   317.8  35    232.8  0.031   406.4    3.0
FRB 380   309.6  35    224.6  0.148    30.4    4.0
FRB 381   537.0  35    452.0  0.487    39.1    1.0
FRB 382   862.9  35    777.9  0.837    19.3    3.0
FRB 383   242.1  35    157.1  0.233    19.2    4.0
FRB 384   288.8  35    203.8  0.109    23.7    2.0
FRB 385   309.3  35    224.3  0.238    11.4    3.0
FRB 386   412.8  35    327.8  0.192    17.0    3.0
FRB 387   431.5  35    346.5  0.494    23.3    0.0
FRB 388   416.9  35    331.9  0.388   172.1    0.0
FRB 389   732.7  35    647.7  0.801    13.4    3.0
FRB 390   621.2  35    536.2  0.723    10.3    4.0
FRB 391  1025.8  35    940.8  0.868    20.6    3.0
FRB 392   489.7  35    404.7  0.224    20.6    4.0
FRB 393   643.1  35    558.1  0.268    97.8    4.0
FRB 394   161.1  35     76.1  0.039     9.7    3.0
FRB 395  1004.4  35    919.4  0.823    36.2    2.0
FRB 396   459.9  35    374.9  0.531    11.6    3.0
FRB 397   874.7  35    789.7  0.793    26.0    2.0
FRB 398  1023.6  35    938.6  0.497    68.8    1.0
FRB 399   297.1  35    212.1  0.257   167.6    2.0
FRB 400   721.9  35    636.9  0.912    19.5    1.0
FRB 401   349.4  35    264.4  0.137    35.0    3.0
FRB 402   664.5  35    579.5  0.822    11.0    2.0
FRB 403   208.7  35    123.7  0.128    93.5    3.0
FRB 404   342.2  35    257.2  0.058    43.7    3.0
FRB 405  1922.7  35   1837.7  1.049    14.4    3.0
FRB 406   205.7  35    120.7  0.106    37.5    3.0
FRB 407   631.8  35    546.8  0.799     9.7    2.0
FRB 408  1415.4  35   1330.4  1.659    11.8    2.0
FRB 409  1211.7  35   1126.7  1.241    16.3    1.0
FRB 410   447.0  35    362.0  0.381    26.8    2.0
FRB 411   637.3  35    552.3  0.273    12.3    4.0
FRB 412   238.1  35    153.1  0.133    13.1    4.0
FRB 413   374.6  35    289.6  0.026   122.9    2.0
FRB 414   188.1  35    103.1  0.071    15.9    2.0
FRB 415  1605.8  35   1520.8  1.456     9.7    3.0
FRB 416  1278.4  35   1193.4  1.114    12.9    2.0
FRB 417   477.1  35    392.1  0.483    13.8    2.0
FRB 418  1116.1  35   1031.1  0.025     9.8    3.0
FRB 419   627.6  35    542.6  0.420    39.1    2.0
FRB 420   908.1  35    823.1  0.601    31.6    3.0
FRB 421  1004.2  35    919.2  1.162     9.8    1.0
FRB 422   504.2  35    419.2  0.033     9.6    3.0
FRB 423   176.3  35     91.3  0.066    18.8    0.0
FRB 424   768.8  35    683.8  0.905    12.5    3.0
FRB 425   466.1  35    381.1  0.331    24.6    1.0
FRB 426   609.2  35    524.2  0.193    15.6    2.0
FRB 427   325.9  35    240.9  0.369    20.4    2.0
FRB 428   621.8  35    536.8  0.551    15.8    2.0
FRB 429   253.8  35    168.8  0.088    15.8    2.0
FRB 430   311.1  35    226.1  0.247   112.2    3.0
FRB 431  1478.4  35   1393.4  1.131    12.8    2.0
FRB 432   555.1  35    470.1  0.598    13.4    1.0
FRB 433   801.5  35    716.5  0.723    30.0    1.0
FRB 434   261.9  35    176.9  0.157    66.8    0.0
FRB 435   232.9  35    147.9  0.110    10.2    4.0
FRB 436   540.6  35    455.6  0.481    38.5    1.0
FRB 437   347.0  35    262.0  0.401    11.9    3.0
FRB 438   596.9  35    511.9  0.773    26.9    2.0
FRB 439  1253.9  35   1168.9  0.783    12.4    4.0
FRB 440   959.4  35    874.4  0.128    20.6    3.0
FRB 441  1093.2  35   1008.2  1.225    10.5    3.0
FRB 442   435.0  35    350.0  0.522    17.0    3.0
FRB 443   355.2  35    270.2  0.089    22.1    2.0
FRB 444   339.8  35    254.8  0.249    12.3    3.0
FRB 445   503.1  35    418.1  0.185    72.7    3.0
FRB 446   361.5  35    276.5  0.405    11.6    3.0
FRB 447   490.4  35    405.4  0.335    52.2    2.0
FRB 448   931.4  35    846.4  1.050    12.8    2.0
FRB 449   411.6  35    326.6  0.302    55.2    1.0
FRB 450   771.3  35    686.3  0.814    20.8    3.0
FRB 451   752.7  35    667.7  0.257    49.5    1.0
FRB 452   440.0  35    355.0  0.388    46.2    2.0
FRB 453  1253.7  35   1168.7  0.896    10.7    2.0
FRB 454   957.0  35    872.0  0.513    11.4    5.0
FRB 455  1223.5  35   1138.5  1.458     9.9    1.0
FRB 456  2619.0  35   2534.0  0.488    10.3    4.0
FRB 457   644.2  35    559.2  0.387    13.2    1.0
FRB 458   254.7  35    169.7  0.172    31.6    1.0
FRB 459  1105.9  35   1020.9  1.191     9.9    2.0
FRB 460   239.0  35    154.0  0.080    20.1    1.0
FRB 461   566.8  35    481.8  0.346    15.7    2.0
FRB 462   470.2  35    385.2  0.250    18.4    3.0
FRB 463   337.6  35    252.6  0.160    12.4    2.0
FRB 464  1051.2  35    966.2  0.547    22.8    2.0
FRB 465   685.1  35    600.1  0.661    33.6    2.0
FRB 466   312.3  35    227.3  0.190    27.7    1.0
FRB 467  1480.2  35   1395.2  0.833    20.8    3.0
FRB 468   881.9  35    796.9  0.908    15.7    1.0
FRB 469   586.7  35    501.7  0.509    13.0    5.0
FRB 470   562.8  35    477.8  0.788     9.8    3.0
FRB 471   204.9  35    119.9  0.003    50.6    4.0
FRB 472   679.1  35    594.1  0.685    12.8    2.0
FRB 473   391.5  35    306.5  0.188    14.9    1.0
FRB 474   382.2  35    297.2  0.378    47.2    1.0
FRB 475   592.6  35    507.6  0.725    14.8    1.0
FRB 476   420.3  35    335.3  0.056    35.4    2.0
